City,Place Name,Zipcode,Name
Hyderabad,adidas,,unknown,"adidas Outlet Store Hyderabad, BRINDAVAN COLONY,GATE NO-1"
NELLORE,moneygram,,unknown,SRI SAI ASSOCIATES
NLR,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - NLR - AP
PILER,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - PILER -
PORANKI,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - PORANKI
PUNGANUR,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - PUNGANUR - 50
VIJAYAWADA,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
VISAKHAPATNAM,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - VISAKHAP
AVANIGADDA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - AVANIGADDA -
B.KOTHAKOTA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - B.KOTHAKOTA -
CHITTOOR,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - CHITTOOR - YE
GAMPALAGUDEM,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - GAMPALAGUDEM
GURRAM KONDA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - GURRAM KONDA
KAIKALURU,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - KAIKALURU - M
KALAKADA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - KALAKADA - RA
KANDUKURU,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - KANDUKURU - P
KRISHNA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - KRISHNA - SAN
MPL,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - MPL - 2 83 AV
MURUKAMBATTU,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - MURUKAMBATTU
NANDIGAMA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - NANDIGAMA - S
NIMMANAPALLI,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - NIMMANAPALLI
NUZIVIDU,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - NUZIVIDU - DO
PAKALA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - PAKALA - MAIN
PAMARRU,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - PAMARRU - ARE
RAMANAKKAPETA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - RAMANAKKAPETA
RIPUNJAYARAJAPURAM,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - RIPUNJAYARAJA
SADUM,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - SADUM - 1ST F
SATHYAVADU,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - SATHYAVADU -
SEETHARAMAPURAM,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - SEETHARAMAPUR
TIRUPATI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1064 - TIR
TIRUVURU,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - TIRUVURU - TI
VAYALPADU,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - VAYALPADU - L
VISSANNAPETAA,moneygram,,unknown,SAPTHAGIRI GRAMEENA BANK - VISSANNAPETAA
RAJAHMUNDRY,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
GUNTUR,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
ATGODAVARI,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
NARPALA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1050 - NAR
TANUKU,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1052 - TAN
TADEPALLIGUDEM,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1059 - TAD
KAKINADA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1083 - KAK
MACHILIPATNAM,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1093 - MAC
PIDUGURALLA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1170 - PID
CHILAKALURIPET,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1171 - CHI
PALAKOLLU,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1173 - PAL
VINUKONDA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1216 - VIN
KANEKAL,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1274 - KAN
MUDIGUBBA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1275 - MUD
JANGAREDDYGUDEM,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #995 - JANG
BATHALAPALLI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #998 - BATH
