Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66840916,moneygram,BOC - #16336 - SAXYA YAN'AN UNIVERSITY S,,YANAN,,,CN,+86 911 233 1036,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840518,moneygram,BOC - #16333 - SAXYA NANMENPO SUB-BR,,YANAN,,,CN,+86 911 211 2006,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842244,moneygram,BOC - #16335 - SAXYA DAQIAOJIE SUB-BR,,YANAN,,,CN,+86 911 211 2005,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842257,moneygram,BOC - #16332 - SAXYA QILIPU SUB-BR,,YANAN,,,CN,+86 911 821 9033,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842260,moneygram,BOC - #16334 - SAXYA DONGJIE SUB-BR,,YANAN,,,CN,+86 911 211 7412,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842273,moneygram,BOC - #16337 - SAXYA YINGBINDADAO SUB-BR,,YANAN,,,CN,+86 911 221 6302,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842286,moneygram,BOC - #16338 - SAXYA ZAOYUANLU SUB-BR,,YANAN,,,CN,+86 911 232 0639,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842309,moneygram,BOC - #16339 - SAXYA JIAOKOUHE SUB-BR,,YANAN,,,CN,+86 911 381 1864,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842312,moneygram,BOC - #16451 - SAXTC TONGCHUANBRANCHOPER,,YANAN,,,CN,+86 919 215 1604,,Mo-Fr 09:00-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840521,moneygram,BOC - #16340 - SAXYA YUANDONGLU SUB-BR,,YANAN,,,CN,+86 911 293 6507,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842299,moneygram,BOC - #16456 - SAXYA LUOCHUAN SUB-BR,,YANAN,,,CN,+86 911 362 2376,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
