Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
015a4342-6673-4f53-be9d-ea11037a881f,nike,NIKE青岛火炬优选体验店,,青岛市,山东省,,CN,+1,https://www.nike.com/retail/s/耐克青岛火炬优选体验店,Mo-Su 10:00-22:00,Nike Factory Store,Q483915
4c796d56398970fba7524a6c781823f1,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 5862 2308,https://location.westernunion.com/cn/shandong/qingdao/4c796d56398970fba7524a6c781823f1,Mo-Fr 09:00-17:00; Su 09:30-16:00,Western Union,Q861042
dc848144e8758bd618384652f2407950,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 5862 2928,https://location.westernunion.com/cn/shandong/qingdao/dc848144e8758bd618384652f2407950,Mo-Fr 10:00-18:00; Sa 10:00-16:00,Western Union,Q861042
0306d77bd04f491b1147e3fdecdaa1b2,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 6867 2978,https://location.westernunion.com/cn/shandong/qingdao/0306d77bd04f491b1147e3fdecdaa1b2,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
b50eff1160e8d522a23a307da17cee40,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 5862 2505,https://location.westernunion.com/cn/shandong/qingdao/b50eff1160e8d522a23a307da17cee40,Mo-Fr 09:00-17:30; Sa 10:00-15:00,Western Union,Q861042
8f67c1b17ec8f8f3afed2c63233fcc14,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 5862 2658,https://location.westernunion.com/cn/shandong/qingdao/8f67c1b17ec8f8f3afed2c63233fcc14,Mo-Fr 08:30-17:00; Su 09:00-14:00,Western Union,Q861042
c6229e4c37bd0036cdcf23a44533a9aa,western_union,BANK OF CHINA,,Qingdao,SHANDONG,,CN,+86 532 8490 8039,https://location.westernunion.com/cn/shandong/qingdao/c6229e4c37bd0036cdcf23a44533a9aa,Mo-Fr 09:00-17:00; Su 09:30-16:00,Western Union,Q861042
b2c9f4150c20f7be3029976db6b685fb,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 5862 2558,https://location.westernunion.com/cn/shandong/qingdao/b2c9f4150c20f7be3029976db6b685fb,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
de5ac471fed5efe99a56aa9cd6c24e38,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 6867 2878,https://location.westernunion.com/cn/shandong/qingdao/de5ac471fed5efe99a56aa9cd6c24e38,Mo-Fr 09:00-17:30; Sa 09:30-15:00,Western Union,Q861042
59d3ea4b6b1ea1fc411ce21b75d9e19c,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 6867 2608,https://location.westernunion.com/cn/shandong/qingdao/59d3ea4b6b1ea1fc411ce21b75d9e19c,Mo-Fr 09:00-17:00; Sa 12:00-17:00,Western Union,Q861042
9c64752969684e69bb6391bb863eac02,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 6867 6557,https://location.westernunion.com/cn/shandong/qingdao/9c64752969684e69bb6391bb863eac02,Mo-Fr 09:00-17:00; Sa 09:00-15:00,Western Union,Q861042
a511a462b247bebff19fda4d178e29d3,western_union,SHANGHAI PUDONG DEVELOPMENT BANK,,Qingdao,SHANDONG,,CN,+86 532 6867 2728,https://location.westernunion.com/cn/shandong/qingdao/a511a462b247bebff19fda4d178e29d3,Mo-Fr 09:00-17:00; Sa 10:00-15:00,Western Union,Q861042
