Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
70451362,moneygram,PRIDE MICROFINANCE - NANSANA,,KAMAPALA,,,UG,+256 39 3262365,,Mo-Fr 08:00-17:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
71179504,moneygram,PRIDE MICROFINANCE - PRIDE ISINGIRO,,ISINGIRO,,,UG,+256 485 420826,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786875,moneygram,PRIDE MICROFINANCE - KAMPALA - KATWE,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786862,moneygram,PRIDE MICROFINANCE - KAMPALA - KABALAGAL,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786888,moneygram,PRIDE MICROFINANCE - KAMPALA - KAWEMPE,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786901,moneygram,PRIDE MICROFINANCE - KAMPALA - NAKULABYE,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786781,moneygram,PRIDE MICROFINANCE - KAMPALA - CITY CENT,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786710,moneygram,PRIDE MICROFINANCE - KAMPALA - WANDEGEYA,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786833,moneygram,PRIDE MICROFINANCE - KAMPALA - NATEETE,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786820,moneygram,PRIDE MICROFINANCE - KAMPALA - NAKAWA,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786891,moneygram,PRIDE MICROFINANCE - KAMPALA - LUGAZI,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786859,moneygram,PRIDE MICROFINANCE - KAMPALA - JINJA,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786765,moneygram,PRIDE MICROFINANCE - KAMPALA - MBALE,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786778,moneygram,PRIDE MICROFINANCE - KAMPALA - LIRA,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786260,moneygram,PRIDE MICROFINANCE - KAMPALA,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786707,moneygram,PRIDE MICROFINANCE - KAMPALA - SOROTI,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786723,moneygram,PRIDE MICROFINANCE - KAMPALA - ARUA,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786736,moneygram,PRIDE MICROFINANCE - KAMPALA - BUSHENYI,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786749,moneygram,PRIDE MICROFINANCE - KAMPALA - GULU,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786752,moneygram,PRIDE MICROFINANCE - KAMPALA - ISHAKA,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786804,moneygram,PRIDE MICROFINANCE - KAMPALA - IGANGA,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786817,moneygram,PRIDE MICROFINANCE - KAMPALA - MUKONO,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67786846,moneygram,PRIDE MICROFINANCE - KAMPALA - RUKUNGIRI,,KAMPALA,,,UG,+256 41 4346930,,Mo-Fr 08:30-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
