Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
060791,bash_za,Totalsports ZAMBIA MANDA HILL LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/totalsports-zambia-manda-hill-lusaka-10101/060791,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
011330,bash_za,American Swiss ZAMBIA MUKUBA MALL KITWE,,KITWE,Lusaka,,ZA,,https://bash.com/store/american-swiss-zambia-mukuba-mall-kitwe-10101/011330,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
015554,bash_za,American Swiss ZAMBIA KAFUBU MALL NDOLA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/american-swiss-zambia-kafubu-mall-ndola-10101/015554,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
000503,bash_za,Foschini COSMOPOLITAN MALL  LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/foschini-cosmopolitan-mall--lusaka-10101/000503,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
060485,bash_za,Totalsports ZAMBIA MUKUBA MALL KITWE,,KITWE,Lusaka,,ZA,,https://bash.com/store/totalsports-zambia-mukuba-mall-kitwe-10101/060485,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
030541,bash_za,EXACT ZAMBIA KAFUBU MALL NDOLA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/exact-zambia-kafubu-mall-ndola-10101/030541,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
017571,bash_za,Sterns COSMOPOLITAN MALL LUSAKA ZAMBIA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/sterns-cosmopolitan-mall-lusaka-zambia-10101/017571,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
030973,bash_za,EXACT ZAMBIA MANDA HILL LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/exact-zambia-manda-hill-lusaka-10101/030973,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
060479,bash_za,Totalsports COSMOPOLITAN MALL LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/totalsports-cosmopolitan-mall-lusaka-10101/060479,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
020754,bash_za,MARKHAM COSMOPOLITAN MALL,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/markham-cosmopolitan-mall-10101/020754,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
330251,bash_za,@home COSMOPOLITAN MALL LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/@home-cosmopolitan-mall-lusaka-10101/330251,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,@Home,Q116429887
000501,bash_za,The FIX ZAMBIA MANDA HILL LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/the-fix-zambia-manda-hill-lusaka-10101/000501,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
000504,bash_za,FOSCHINI LEVY JUNCTION,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/foschini-levy-junction-10101/000504,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
000502,bash_za,FOSCHINI MUKUBA MALL,,KITWE,Lusaka,,ZA,,https://bash.com/store/foschini-mukuba-mall-10101/000502,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
015370,bash_za,Sterns ZAMBIA MUKUBA MALL KITWE,,KITWE,Lusaka,,ZA,,https://bash.com/store/sterns-zambia-mukuba-mall-kitwe-10101/015370,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
030623,bash_za,EXACT COSMOPOLITAN MALL LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/exact-cosmopolitan-mall-lusaka-10101/030623,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
000541,bash_za,FOSCHINI KAFUBU MALL,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/foschini-kafubu-mall-10101/000541,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
000505,bash_za,The FIX ZAMBIA LEVY JUNCTION LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/the-fix-zambia-levy-junction-lusaka-10101/000505,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
020751,bash_za,MARKHAM LEVY JUNCTION ZAMBIA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/markham-levy-junction-zambia-10101/020751,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
020753,bash_za,MARKHAM MUKUBA MALL KITWE,,KITWE,Lusaka,,ZA,,https://bash.com/store/markham-mukuba-mall-kitwe-10101/020753,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
020752,bash_za,MARKHAM KAFUBU MALL,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/markham-kafubu-mall-10101/020752,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
030252,bash_za,EXACT ZAMBIA LEVY JUNCTION LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/exact-zambia-levy-junction-lusaka-10101/030252,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
015280,bash_za,Sterns ZAMBIA MANDA HILL LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/sterns-zambia-manda-hill-lusaka-10101/015280,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
020750,bash_za,MARKHAM MANDA HILL LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/markham-manda-hill-lusaka-10101/020750,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
015294,bash_za,Sterns ZAMBIA LEVY JUNCTION LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/sterns-zambia-levy-junction-lusaka-10101/015294,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
030582,bash_za,EXACT ZAMBIA MUKUBA MALL KITWE,,KITWE,Lusaka,,ZA,,https://bash.com/store/exact-zambia-mukuba-mall-kitwe-10101/030582,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
060793,bash_za,Totalsports ZAMBIA LEVY JUNCTION LUSAKA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/totalsports-zambia-levy-junction-lusaka-10101/060793,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
000500,bash_za,FOSCHINI MANDA HILL,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/foschini-manda-hill-10101/000500,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
011332,bash_za,American Swiss COSMOPOLITAN MALL LUSAKA ZAMBIA,,LUSAKA,Lusaka,,ZA,,https://bash.com/store/american-swiss-cosmopolitan-mall-lusaka-zambia-10101/011332,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
