Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
90aef9b7ce23aaf34f6646cb3cd6024b,western_union,AZANIA BANK KATORO BRANCH,,Katoro,GEITA,,TZ,(+255) 022-737719976,https://location.westernunion.com/tz/geita/katoro/90aef9b7ce23aaf34f6646cb3cd6024b,Mo-Fr 08:30-17:00; Sa 08:30-12:30,Western Union,Q861042
f2525ea398bdf8816a52a0fef6a33424,western_union,CRDB KATORO BRANCH,,Katoro,GEITA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/geita/katoro/f2525ea398bdf8816a52a0fef6a33424,Mo-Fr 08:00-17:30; Sa 08:30-14:00,Western Union,Q861042
0450f2fd0c307781b16475bd98245125,western_union,CRDB BANK PLC NYANG HWALE,,Geita,GEITA,,TZ,+255 22 221 2958,https://location.westernunion.com/tz/geita/geita/0450f2fd0c307781b16475bd98245125,Mo-Fr 08:30-18:30; Sa 08:30-14:30,Western Union,Q861042
3b8d4bef5ea91dd6a501550bc83af408,western_union,KCBT GEITA BRANCH,,Geita,GEITA,,TZ,(+252) 255-222160026,https://location.westernunion.com/tz/geita/geita/3b8d4bef5ea91dd6a501550bc83af408,Mo-Fr 08:00-17:00; Sa 08:00-13:00,Western Union,Q861042
a842897355f812ffe4fd20865ad9a1e7,western_union,TCB GEITA,,Geita,GEITA,,TZ,(+255) 22-2110621-2311,https://location.westernunion.com/tz/geita/geita/a842897355f812ffe4fd20865ad9a1e7,Mo-Fr 08:30-16:00; Sa 09:00-12:00,Western Union,Q861042
5262cf463ddb12ce5d538b295061e7c0,western_union,AZANIA BANK GEITA,,Geita,GEITA,,TZ,+255 784 559 784,https://location.westernunion.com/tz/geita/geita/5262cf463ddb12ce5d538b295061e7c0,Mo-Fr 08:30-17:00; Sa 08:30-12:30,Western Union,Q861042
e80d964698856ff7ec76cf3eac8a42a2,western_union,AZANIA BANK GEITA,,Geita,GEITA,,TZ,+255 784 559 784,https://location.westernunion.com/tz/geita/geita/e80d964698856ff7ec76cf3eac8a42a2,Mo-Fr 08:30-17:00; Sa 08:30-12:30,Western Union,Q861042
06a336138d10a6c044d844885b576ae7,western_union,TCB GEITA,,Geita,GEITA,,TZ,(+255) 22-2110621-2311,https://location.westernunion.com/tz/geita/geita/06a336138d10a6c044d844885b576ae7,Mo-Fr 08:30-16:00; Sa 09:00-12:00,Western Union,Q861042
59328ad1a16c90803824ef633fd0721c,western_union,NBC GEITA BRANCH,,Geita,GEITA,,TZ,(+255) 1-768984000,https://location.westernunion.com/tz/geita/geita/59328ad1a16c90803824ef633fd0721c,Mo-Fr 08:00-18:00; Sa 08:00-16:00,Western Union,Q861042
baac7ddb47057339e94733c4290f44e2,western_union,CRDB BANK PLC GEITA GOLD MARKET BRANCH,,Geita,GEITA,,TZ,+255 22 221 2958,https://location.westernunion.com/tz/geita/geita/baac7ddb47057339e94733c4290f44e2,Mo-Fr 08:30-18:30; Sa 08:30-14:30,Western Union,Q861042
4cb5bc231a5f0b71d52ad49ab3591228,western_union,CRDB BANK GEITA BRANCH,,Geita,GEITA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/geita/geita/4cb5bc231a5f0b71d52ad49ab3591228,Mo-Fr 08:00-17:30; Sa 08:30-14:00,Western Union,Q861042
b785fe41a87b7d29ba0e3a1807ec4adc,western_union,TCB CHATO,,Chato,GEITA,,TZ,(+252) 22-2110621-1801,https://location.westernunion.com/tz/geita/chato/b785fe41a87b7d29ba0e3a1807ec4adc,Mo-Fr 08:30-16:00; Sa 09:00-12:30,Western Union,Q861042
720fffa33397b36a09ad725f3b3cdfdd,western_union,TCB CHATO,,Chato,GEITA,,TZ,(+252) 22-2110621-1801,https://location.westernunion.com/tz/geita/chato/720fffa33397b36a09ad725f3b3cdfdd,Mo-Fr 08:30-16:00; Sa 09:00-12:30,Western Union,Q861042
a1dcf2d44accb73746b3e09318f6d8a8,western_union,CRDB BANK KAKOLA BRANCH,,Geita,GEITA,,TZ,+255 22 221 2958,https://location.westernunion.com/tz/geita/geita/a1dcf2d44accb73746b3e09318f6d8a8,Mo-Fr 08:30-18:30; Sa 08:30-14:30,Western Union,Q861042
0dfb71b9b1857165e77c32df80f6a107,western_union,CRDB BANK RUNZEWE BRANCH,,Geita,GEITA,,TZ,+255 22 221 2958,https://location.westernunion.com/tz/geita/geita/0dfb71b9b1857165e77c32df80f6a107,Mo-Fr 08:30-18:30; Sa 08:30-14:30,Western Union,Q861042
