Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68920494,moneygram,ARTHAPOS - #PBR - PEKANBARU - KPRK PEKAN,,PEKANBARU,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71688639,moneygram,BTN - PEKANBARU - AKHMAD YANI,,PEKANBARU,,,ID,+62 761 589419,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688642,moneygram,BTN - PEKANBARU - HANG TUAH,,PEKANBARU,,,ID,+62 761 38481,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692667,moneygram,BTN - PEKANBARU - PANAM,,PEKANBARU,,,ID,+62 761 29288641,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692670,moneygram,BTN - PEKANBARU - KH. AHMAD DAHLAN EKS.,,PEKANBARU,,,ID,+62 761 8400888,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692683,moneygram,BTN - PEKANBARU - HARAPAN RAYA,,PEKANBARU,,,ID,+62 761 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71693174,moneygram,BTN - PEKANBARU - UNIVESITAS RIAU UNRI,,PEKANBARU,,,ID,+62 21 6481707,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688532,moneygram,BTN - PEKANBARU - MARPOYAN,,PEKANBARU,,,ID,+62 761 60436,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688558,moneygram,BTN - PEKANBARU - PANAM,,PEKANBARU,,,ID,+62 761 32956,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688600,moneygram,BTN - BANGKINANG - BANGKINANG,,BANGKINANG,,,ID,+62 762 562121,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688590,moneygram,BTN - PEKANBARU - RIAU,,PEKANBARU,,,ID,+62 761 556115,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688587,moneygram,BTN - PEKANBARU - ARENGKA,,PEKANBARU,,,ID,+62 761 673728,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
