Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72380279,moneygram,DIAMOND BANK PLC - #213 - IHIALA - OKIJA,,IHIALA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378838,moneygram,DIAMOND BANK PLC - AWKA,,AWKA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379329,moneygram,DIAMOND BANK PLC - AWKA ENUGU ONITSHA EX,,AWKA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378359,moneygram,DIAMOND BANK PLC - BRIDGEHEAD,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378757,moneygram,DIAMOND BANK PLC - IWEKA ROAD,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379413,moneygram,DIAMOND BANK PLC - NKPOR,,NKPOR,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378223,moneygram,DIAMOND BANK PLC - NMR,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380512,moneygram,DIAMOND BANK PLC - NNAMDI AZIKWE UNIVERS,,AWKA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378498,moneygram,DIAMOND BANK PLC - NNEWI,,NNEWI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378870,moneygram,DIAMOND BANK PLC - NNEWI 2,,NNEWI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378825,moneygram,DIAMOND BANK PLC - OGBARU,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379387,moneygram,DIAMOND BANK PLC - OGIDI ONITSHA,,OGIDI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
