City,Place Name,Zipcode,Name
unknown,aldi_sud_ie,,unknown,"ALDI Chestnut Road, Ballybofey"
unknown,allied_irish_banks_ie,,unknown,AIB Bank - Letterkenny
Dungloe,lidl_ie,,unknown,Dungloe
Millford,lidl_ie,,unknown,Millford
Ballybofey,lidl_ie,,unknown,Ballybofey
Letterkenny,lidl_ie,,unknown,Letterkenny
unknown,lidl_ie,,unknown,Donegal
Bundoran,lidl_ie,,unknown,Bundoran
Buncrana,lidl_ie,,unknown,Buncrana
Donegal,maxol_ie,,unknown,McDaid's Maxol Service Station
Lifford,mercedes_benz,,unknown,Donegal Commercial Vehicles Limited                          T/A McDaid Bros.
Donegal,mr_price_ie,Middle Rd Ballyraine Letterkenny Co. Donegal,unknown,MrPRICE Letterkenny
Letterkenny,subway,,unknown,Subway
Letterkenny Donegal,subway,,unknown,Subway Applegreen Service Station
Buncrana Co. Donegal,subway,,unknown,Subway
BALLYSHANNON,visa,,unknown,unknown
ANNAGRY,visa,,unknown,unknown
DONEGAL,visa,,unknown,unknown
BALLYBOFEY,visa,,unknown,unknown
BALLYLIFFIN,visa,,unknown,unknown
ARDARA,visa,,unknown,unknown
LETTERKENNY,visa,,unknown,unknown
BUNCRANA,visa,,unknown,unknown
GWEEDORE,visa,,unknown,unknown
FALCARRAGH,visa,,unknown,unknown
CARNDONAGH,visa,,unknown,unknown
CLONMANY,visa,,unknown,unknown
