Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74945492,moneygram,ACCESS BANK CAMEROON - #CM4959 - DOUALA,,DOUALA,,,CM,+237 2 33 50 97 00,,Mo-Fr 08:00-16:30; Sa 11:00-15:30; Su 00:00-24:00,MoneyGram,Q1944412
74945489,moneygram,ACCESS BANK CAMEROON - #CM4958 - DOUALA,,DOUALA,,,CM,+237 2 33 50 97 00,,Mo-Fr 08:00-16:30; Sa 11:00-15:30; Su 00:00-24:00,MoneyGram,Q1944412
74667738,moneygram,HOP SERVICES SARL - NGOUMOU - HOP NGOUMO,,NGOUMOU,,,CM,+237 6 83 75 31 28,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667699,moneygram,HOP SERVICES SARL - NDIKINIMEKI - HOP ND,,NDIKINIMEKI,,,CM,+237 6 83 72 40 71,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667709,moneygram,HOP SERVICES SARL - NGAOUNDAL 1 - HOP NG,,NGAOUNDAL 1,,,CM,+237 6 83 72 53 93,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667712,moneygram,HOP SERVICES SARL - NGONG - HOP NGONG,,NGONG,,,CM,+237 6 83 75 31 44,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667767,moneygram,HOP SERVICES SARL - NKONDJOCK - HOP NKON,,NKONDJOCK,,,CM,+237 6 83 72 52 39,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667796,moneygram,HOP SERVICES SARL - SOMBO - HOP SOMBO,,SOMBO,,,CM,+237 6 83 75 21 12,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667725,moneygram,HOP SERVICES SARL - NGOULEMAKONG - HOP N,,NGOULEMAKONG,,,CM,+237 6 83 76 04 36,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667741,moneygram,HOP SERVICES SARL - NGUELEMENDOUKA - HOP,,NGUELEMENDOUKA,,,CM,+237 6 83 73 72 28,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667783,moneygram,HOP SERVICES SARL - POLI - HOP POLI,,POLI,,,CM,+237 6 83 75 31 52,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667770,moneygram,HOP SERVICES SARL - PITOA - HOP PITOA,,PITOA,,,CM,+237 6 83 75 30 63,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667563,moneygram,HOP SERVICES SARL - EVOUDOULA - HOP EVOU,,EVOUDOULA,,,CM,+237 6 83 75 88 38,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667754,moneygram,HOP SERVICES SARL - NDJIMOM - HOP NDJIMO,,NDJIMOM,,,CM,+237 6 83 76 10 96,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667550,moneygram,HOP SERVICES SARL - DOUKOULA - HOP DOUKO,,DOUKOULA,,,CM,+237 6 83 75 26 62,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74667686,moneygram,HOP SERVICES SARL - NANGA EBOKO 2 - HOP,,NANGA EBOKO 2,,,CM,+237 6 83 72 61 33,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
