Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74450893,moneygram,SWISS EXCHANGE CO LLC - #10 - AMMAN - HA,,AMMAN,,,JO,+962 6 585 7111,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74450903,moneygram,SWISS EXCHANGE CO LLC - #11 - AMMAN - MA,,AMMAN,,,JO,+962 6 585 7111,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74450864,moneygram,SWISS EXCHANGE CO LLC - #7 - AMMAN - TAB,,AMMAN,,,JO,+962 6 585 7111,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74450877,moneygram,SWISS EXCHANGE CO LLC - #8 - AMMAN - MAR,,AMMAN,,,JO,+962 6 585 7111,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74450880,moneygram,SWISS EXCHANGE CO LLC - #9 - AMMAN - AQB,,AMMAN,,,JO,+962 6 585 7111,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74484351,moneygram,SWISS EXCHANGE CO LLC - #12 - BALQA - EI,,BALQA,,,JO,+962 6 585 7111,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74484364,moneygram,SWISS EXCHANGE CO LLC - #13 - AMMAN - 5B,,AMMAN,,,JO,+962 6 585 7111,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74591202,moneygram,SWISS EXCHANGE CO LLC - #14 - ZARQA - ZA,,ZARQA,,,JO,+962 7 9755 6686,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74591215,moneygram,SWISS EXCHANGE CO LLC - #15 - IRBID - IR,,IRBID,,,JO,+962 7 9755 6686,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74830060,moneygram,SWISS EXCHANGE CO LLC - #17 - DOLAYAL -,,DOLAYAL,,,JO,+962 6 585 7111,,Mo-Th 08:00-24:00; Fr 14:00-23:00; Sa-Su 08:00-24:00,MoneyGram,Q1944412
74975080,moneygram,SWISS EXCHANGE CO LLC - #18 - ABU NSSIER,,ABU NSSIER,,,JO,+962 6 585 7111,,Mo-Th 07:00-24:00; Fr 12:00-23:00; Sa-Su 07:00-24:00,MoneyGram,Q1944412
75058896,moneygram,SWISS EXCHANGE CO LLC - #19 - AL HASAN C,,AL HASAN CITY,,,JO,+962 6 585 7111,,Mo-Th 07:00-24:00; Fr 12:00-23:00; Sa-Su 07:00-24:00,MoneyGram,Q1944412
