Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72380062,moneygram,DIAMOND BANK PLC - #192 - ABEOKUTA - ADA,,ABEOKUTA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380871,moneygram,DIAMOND BANK PLC - #M54 - ILISHAN-REMO -,,OGUN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378469,moneygram,DIAMOND BANK PLC - ABEOKUTA,,ABEOKUTA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379471,moneygram,DIAMOND BANK PLC - IDIROKO,,IDIROKO,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379523,moneygram,DIAMOND BANK PLC - SAGAMU,,SAGAMU,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379374,moneygram,DIAMOND BANK PLC - YEWA AJILETE INTL MKT,,AJILETE,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626360,moneygram,ACCESS BANK PLC - #192 - ABEOKUTA - ADAT,,ABEOKUTA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627178,moneygram,ACCESS BANK PLC - #M54 - ILISHAN-REMO -,,OGUN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624760,moneygram,ACCESS BANK PLC - ABEOKUTA,,ABEOKUTA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625772,moneygram,ACCESS BANK PLC - IDIROKO,,IDIROKO,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625824,moneygram,ACCESS BANK PLC - SAGAMU,,SAGAMU,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627330,moneygram,ACCESS BANK PLC - SANGO BRANCH,,SANGO,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625675,moneygram,ACCESS BANK PLC - YEWA AJILETE INTL MKT,,AJILETE,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
