Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72311617,moneygram,BANK OF ABYSSINIA - AZENA - AZENA BRANCH,,AZENA,,,ET,583278002,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72821220,moneygram,BANK OF ABYSSINIA - DAWDO BRANCH,,DESSIE,,,ET,333122150,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72821178,moneygram,BANK OF ABYSSINIA - MUMIE BRANCH,,DESSIE,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72864973,moneygram,BANK OF ABYSSINIA - DENEBA BRANCH,,DENEBA,,,ET,+251 11 667 0955,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72864986,moneygram,BANK OF ABYSSINIA - MIDA BRANCH,,MERAGNA,,,ET,+251 11 667 0974,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72987180,moneygram,BANK OF ABYSSINIA - DICHEOTO BRANCH,,DICHETO,,,ET,342464034,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72987164,moneygram,BANK OF ABYSSINIA - EBINAT BRANCH,,EBINAT,,,ET,583208789,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72987135,moneygram,BANK OF ABYSSINIA - MENZ LALO MIDIR BRAN,,WEGERE,,,ET,+251 11 667 0955,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72987177,moneygram,BANK OF ABYSSINIA - ZENBABA BRANCH,,BAHIR DAR,,,ET,583205391,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73622389,moneygram,BANK OF ABYSSINIA - SEMADA BRANCH,,SEMADA,,,ET,583208789,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73721507,moneygram,BANK OF ABYSSINIA - WAD BRANCH,,WAD CITY,,,ET,583209660,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73837695,moneygram,BANK OF ABYSSINIA - DENGEL BRANCH,,BAHIR DAR,,,ET,583209660,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73837679,moneygram,BANK OF ABYSSINIA - KELALA BRANCH,,KELALA,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73837747,moneygram,BANK OF ABYSSINIA - YIFAT BRANCH,,SHEWAROBIT,,,ET,332120294,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899138,moneygram,BANK OF ABYSSINIA - GENETE BRANCH,,LEGAMBO,,,ET,583206946,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899125,moneygram,BANK OF ABYSSINIA - GISHEN DEBRE KERBE B,,AMBASEL,,,ET,+251 58 338 1165,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899060,moneygram,BANK OF ABYSSINIA - LIGUAMA BRANCH,,LIGUAMA,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899112,moneygram,BANK OF ABYSSINIA - MAKSEGNIT BRANCH,,MAKSEGNIT,,,ET,+251 58 444 0406,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899099,moneygram,BANK OF ABYSSINIA - MANKUSA BRANCH,,MANKUSA,,,ET,582180060,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899154,moneygram,BANK OF ABYSSINIA - SHEBEL BRANCH,,SHEBEL BERENTA,,,ET,+251 58 226 4146,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899167,moneygram,BANK OF ABYSSINIA - WEJEL BRANCH,,WEJEL,,,ET,+251 58 226 4145,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899109,moneygram,BANK OF ABYSSINIA - WETET ABAY BRANCH,,WETET ABAY,,,ET,+251 58 223 0480,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969819,moneygram,BANK OF ABYSSINIA - ABRHAJIRA BRANCH,,ABRHAJRA,,,ET,583208787,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969880,moneygram,BANK OF ABYSSINIA - AMBA GIORGIS BRANCH,,BAHIR DAR,,,ET,583205391,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969796,moneygram,BANK OF ABYSSINIA - BIBUGN BRANCH,,DEGO TSION,,,ET,583209660,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969806,moneygram,BANK OF ABYSSINIA - DELGI BRANCH,,DELGI ALEFA,,,ET,583208789,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969822,moneygram,BANK OF ABYSSINIA - JIGA BRANCH,,JIGA,,,ET,583208701,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969929,moneygram,BANK OF ABYSSINIA - KALLU BRANCH,,KOMBOLCHA,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969903,moneygram,BANK OF ABYSSINIA - WOYIN WUHA BRANCH,,BAHIR DAR,,,ET,583205399,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74071926,moneygram,ENAT BANK - DANGILA,,DANGILA,,,ET,+251 58 221 2148,,Mo-Su 08:00-19:00,MoneyGram,Q1944412
74166019,moneygram,ABAY BANK S C - #2100 - DANGLA SUB BRANC,,DANGLA,,,ET,334645965,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74166006,moneygram,ABAY BANK S C - #353 - KOGA SUB BRANCH,,MER'AWI,,,ET,+251 33 221 3464,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74166022,moneygram,ABAY BANK S C - #355 - FIETRA BRANCH,,FIETRA,,,ET,335412046,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74166064,moneygram,ABAY BANK S C - #479 - BAHIRDAR FELEGEHI,,BAHIR DAR,,,ET,585465465,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74326600,moneygram,ABAY BANK S.C - #487 - DAGMAWI MINILIK B,,DEBRE BIRHAN,,,ET,224139761,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74326639,moneygram,ABAY BANK S.C - #906 - WEGERI BRANCH,,WEGERI,,,ET,226147804,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74290697,moneygram,BANK OF ABYSSINIA - GERBA BRANCH,,GERBA,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74290671,moneygram,BANK OF ABYSSINIA - HARA BRANCH,,HARAR,,,ET,333121250,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74290639,moneygram,BANK OF ABYSSINIA - SHAHURA BRANCH,,SHAHURA,,,ET,583209660,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74404098,moneygram,ABAY BANK S.C - #492 - KORK BRANCH,,KORK,,,ET,433525113,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74412996,moneygram,BANK OF ABYSSINIA - AMDEWORK BRANCH,,DEHINA,,,ET,332120295,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412912,moneygram,BANK OF ABYSSINIA - GERADO BRANCH,,DESSIE,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74413076,moneygram,BANK OF ABYSSINIA - GIRANA BRANCH,,HABRU,,,ET,333122666,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74413018,moneygram,BANK OF ABYSSINIA - GORO FIGA BRANCH,,LEMI,,,ET,+251 11 667 0955,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412938,moneygram,BANK OF ABYSSINIA - GUGUFTU BRANCH,,GUGUFTU,,,ET,333122151,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412925,moneygram,BANK OF ABYSSINIA - MEHAL SAYINT BRANCH,,DENSA,,,ET,333122666,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412954,moneygram,BANK OF ABYSSINIA - MINJAR BRANCH,,ARERTI,,,ET,222121407,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74413005,moneygram,BANK OF ABYSSINIA - SANKA BRANCH,,SANKA,,,ET,333122666,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74413034,moneygram,BANK OF ABYSSINIA - SHEH ALI GONDER BR,,GONDER,,,ET,332120295,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412899,moneygram,BANK OF ABYSSINIA - TULU AWLIA BRANCH,,TULU AWLIA,,,ET,333122150,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412909,moneygram,BANK OF ABYSSINIA - WOIN AMBA BRANCH,,WOIN AMBA,,,ET,332120294,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74443994,moneygram,BANK OF ABYSSINIA - KOBO ROBIT BRANCH,,ROBIT,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74542057,moneygram,BANK OF ABYSSINIA - ALAQSUA BRANCH,,MERSA,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74643781,moneygram,BANK OF ABYSSINIA - DAWUNT BRANCH,,KURBA,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74643778,moneygram,BANK OF ABYSSINIA - ZEWOLD BRANCH,,KOBO,,,ET,332120294,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74687365,moneygram,BANK OF ABYSSINIA - YIFAG - YIFAG BRANCH,,YIFAG,,,ET,583209660,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74687378,moneygram,BANK OF ABYSSINIA - BRAKAT - BRAKAT BRAN,,BRAKAT,,,ET,583205391,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74687349,moneygram,BANK OF ABYSSINIA - WERETA - FOGERA BRAN,,WERETA,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74818163,moneygram,BANK OF ABYSSINIA - DIREDAWA - MELKA JEB,,DIREDAWA,,,ET,244110775,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72987106,moneygram,BANK OF ABYSSINIA - AKESTA BRANCH,,AKESTA,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
