Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65647301,moneygram,CANAL M - #19,,KSAR KEBIR,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647327,moneygram,CANAL M - #29,,LARAACHE,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647330,moneygram,CANAL M - #98,,LAOUAMRA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647437,moneygram,CANAL M - #79,,MOHAMMADIA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647440,moneygram,CANAL M - #48,,OULED TEIMA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647482,moneygram,CANAL M - #21,,SOUK LARBAA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647505,moneygram,CANAL M - #13,,TANGER,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647521,moneygram,CANAL M - #41,,TAROUDANT,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647576,moneygram,CANAL M - #27,,TINEJDAD,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65646933,moneygram,CANAL M - #40,,BERRECHID,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65646881,moneygram,CANAL M - #39,,BOUJAAD,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65646920,moneygram,CANAL M - #86,,AIT MELLOUL,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65646946,moneygram,CANAL M - #127,,BOUZNIKA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65646959,moneygram,CANAL M - #24,,CASABLANCA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65646962,moneygram,CANAL M - #49,,DCHIRA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647013,moneygram,CANAL M - #113,,ATTAOUIA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647026,moneygram,CANAL M - #31,,EL BROUJ,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647042,moneygram,CANAL M - #23,,KLAAT SRAGHNA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647068,moneygram,CANAL M - #139,,ESSAOUIRA,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
65647071,moneygram,CANAL M - #158,,INEZGANE,,,MA,+212 5224-29030,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
