Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
177922c938761ab2a987dbbaf97003d2,western_union,NJESIA NR 50 HIB,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/177922c938761ab2a987dbbaf97003d2,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
624a74732cae98c596c78cf2666e0605,western_union,HIB PETROL NJESIA NR2,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/624a74732cae98c596c78cf2666e0605,Mo-Fr 08:00-19:00; Sa 09:00-16:00,Western Union,Q861042
6e11735ea19392d07ff4873d758258e5,western_union,SHPAT017 SH P K,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/6e11735ea19392d07ff4873d758258e5,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
863c1b5ff06ba84e35e8c9b28cfa2612,western_union,DRENI TRADE SH P K,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/863c1b5ff06ba84e35e8c9b28cfa2612,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
3b27f92eb2e3394df2073a454201d4fa,western_union,N T P BINI,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/3b27f92eb2e3394df2073a454201d4fa,Mo-Fr 07:30-20:00; Sa 07:30-17:00,Western Union,Q861042
9b1fb923b3a0e06c243a76229cc6a651,western_union,N.T.P KOSOVA TURIZEM,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/9b1fb923b3a0e06c243a76229cc6a651,Mo-Fr 07:30-20:00; Sa 07:30-17:00,Western Union,Q861042
f1979cee00525b20a23807eed1d98271,western_union,HIB PETROL SH P K,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/f1979cee00525b20a23807eed1d98271,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
79fa8bf8e6bbd49a92f851809db78cb9,western_union,N T SH BLINA MARKET,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/79fa8bf8e6bbd49a92f851809db78cb9,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
51186f7206329ec1a858fb35357e6a71,western_union,MOBI COMPUTERS SH P K,,Ferizaj,FERIZAJ,,XK,+383 49 952 251,https://location.westernunion.com/k1/ferizaj/ferizaj/51186f7206329ec1a858fb35357e6a71,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
c4458fcb395a77a7fa1c3794df70a698,western_union,PIKA COM SH P K LLC,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/c4458fcb395a77a7fa1c3794df70a698,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
cefb32191c05d7c85e770baa3068e527,western_union,MOBI COMPUTERS SH P K,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/cefb32191c05d7c85e770baa3068e527,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
4519c67c2c7e9a076c3aa1cf6d04db77,western_union,N SH T BEFFKOS,,Ferizaj,FERIZAJ,,XK,+383 38 549 840,https://location.westernunion.com/k1/ferizaj/ferizaj/4519c67c2c7e9a076c3aa1cf6d04db77,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
