Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68509970,moneygram,ABAY BANK SC - BOLE MEDHANYALEM,,ADDIS ABABA,,,ET,91911753226,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
68509763,moneygram,ABAY BANK SC - SHEWA ROBIT,,SHEWA ROBIT,,,ET,33336641186,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68509996,moneygram,ABAY BANK SC - LIDETA,,ADDIS ABABA,,,ET,91913344098,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68509954,moneygram,ABAY BANK SC - TEWODROS,,ADDIS ABABA,,,ET,11111550251,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68509983,moneygram,ABAY BANK SC - GERJI,,ADDIS ABABA,,,ET,91918767748,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68525446,moneygram,ABAY BANK SC - ASSOSA,,ASSOSA,,,ET,57577750378,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68525789,moneygram,ABAY BANK SC - GILGEL BELES,,GILGEL BELES,,,ET,58581190459,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68525792,moneygram,ABAY BANK SC - JAWI,,JAWI,,,ET,58582780082,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68525815,moneygram,ABAY BANK SC - MEGENAGNA,,ADDIS ABABA,,,ET,11116673804,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68526076,moneygram,ABAY BANK SC - LAKOMOLZA,,LAKOMOLZA,,,ET,33333110984,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68900838,moneygram,ABAY BANK S.C. - CMC,,ADDIS ABABA,,,ET,+251 11 667 0399,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68900841,moneygram,ABAY BANK S.C. - TANA,,BAHIR DAR,,,ET,+251 91 870 6060,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68900854,moneygram,ABAY BANK S.C. - LOGIA,,LOGIA,,,ET,+251 33 550 0014,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68900870,moneygram,ABAY BANK S.C. - KERA,,ADDIS ABABA,,,ET,114704429,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68900906,moneygram,ABAY BANK S.C. - SHASHEMENE,,SHASHEMENE,,,ET,464337,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68900922,moneygram,ABAY BANK S.C. - DEBRE TABOUR,,DEBRE TABOUR,,,ET,+251 58 441 0290,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68901028,moneygram,ABAY BANK S.C. - GONDER,,GONDER,,,ET,+251 58 111 2131,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68964120,moneygram,ABAY BANK S.C. - BISHEFTU,,BISHEFTU,,,ET,+251 93 417 5146,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68964146,moneygram,ABAY BANK S.C. - ADISKEDAM,,ADISKEDAM,,,ET,+251 91 870 9080,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68964188,moneygram,ABAY BANK S.C. - ADDIS ABABA,,ADDIS ABABA,,,ET,112732338,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
68964191,moneygram,ABAY BANK S.C. - HOSSANA,,HOSSANA,,,ET,+251 46 555 2894,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
69979732,moneygram,ABAY BANK S.C - AFRICA AVENUE,,ADDIS ABABA,,,ET,+251 91 327 8832,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
69980381,moneygram,ABAY BANK S.C - ADDIS ZEMEN,,ADDIS ZEMEN,,,ET,+251 91 051 7380,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
69979729,moneygram,ABAY BANK S.C - ADDISU GEBEYA,,ADDIS ABABA,,,ET,11273255,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
69980404,moneygram,ABAY BANK S.C - BETHEL,,ADDIS ABABA,,,ET,9135158782,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
69980378,moneygram,ABAY BANK S.C - JEMO,,ADDIS ABABA,,,ET,+251 92 195 1191,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
70253654,moneygram,ABAY BANK S.C - SARIS,,ADDIS ABABA,,,ET,+251 94 668 9371,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
70253667,moneygram,ABAY BANK S.C - MILITARY TERRA,,ADDIS ABABA,,,ET,+251 91 165 0602,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
70489525,moneygram,ABAY BANK S.C - BOLE AIRPORT,,ADDIS ABABA,,,ET,+251 91 311 3642,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70489790,moneygram,ABAY BANK S.C - ENKULAL FABRICA,,ADDIS ABABA,,,ET,+251 91 173 5267,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70489813,moneygram,ABAY BANK S.C - GISH ABAY,,BAHIR DAR,,,ET,+251 91 820 7334,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70489826,moneygram,ABAY BANK S.C - ZIWAY,,ZIWAY,,,ET,22126409,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
