Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68342564,moneygram,AWASH BANK - AGONA CINEMA,,ADDIS ABABA,,,ET,+251 11 416 8575,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
68776910,moneygram,AWASH BANK - KALITY TOTAL,,ADDIS ABABA,,,ET,118696464,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68776923,moneygram,AWASH BANK - FERNSAY TAXI,,ADDIS ABABA,,,ET,111548085,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68792198,moneygram,AWASH BANK - ABOSTO,,SHASHEMENE,,,ET,462115077,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68792208,moneygram,AWASH BANK - ARBAMINCH,,ARBA MINCH',,,ET,+251 46 881 2992,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68802318,moneygram,AWASH BANK - BOLE 24,,ADDIS ABABA,,,ET,116673679,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68807915,moneygram,AWASH BANK - LAMBERET,,ADDIS ABABA,,,ET,116675431,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68868394,moneygram,AWASH BANK - MODJO,,MODJO,,,ET,+251 22 116 0286,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68868488,moneygram,AWASH BANK - DUBAI TERA,,ADDIS ABABA,,,ET,118959955,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68868491,moneygram,AWASH BANK - TOR AYLOCH,,ADDIS ABABA,,,ET,118592256,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68975863,moneygram,AWASH BANK - FITCHE BRANCH,,FITCHE,,,ET,+251 11 135 2022,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68975889,moneygram,AWASH BANK - YEKA BRANCH,,ADDIS ABABA,,,ET,118592948,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68975892,moneygram,AWASH BANK - AMANUEL BRANCH,,ADDIS ABABA,,,ET,112736046,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69107630,moneygram,AWASH INTERNATIONAL BANK - BARRECHA BRAN,,ADAMA,,,ET,+251 22 112 0481,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69107643,moneygram,AWASH INTERNATIONAL BANK - DEBRE BIRHAN,,DEBRE BIRHAN,,,ET,118909057,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69107656,moneygram,AWASH INTERNATIONAL BANK - HAFETE ISSA B,,DIRE DAWA,,,ET,258119230,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69107672,moneygram,AWASH INTERNATIONAL BANK - LEGE TAFO BRA,,LEGE T'AFO,,,ET,118290748,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69107999,moneygram,AWASH INTERNATIONAL BANK - ABWUARE BRANC,,ADDIS ABABA,,,ET,115576908,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69108008,moneygram,AWASH INTERNATIONAL BANK - AZEZO BRANCH,,GONDER,,,ET,+251 58 114 1222,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69108011,moneygram,AWASH INTERNATIONAL BANK - DEBER TABOR B,,DEBRE TABOR,,,ET,581410303,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69108024,moneygram,AWASH INTERNATIONAL BANK - KALITI GEBERI,,ADDIS ABABA,,,ET,114717262,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69108040,moneygram,AWASH INTERNATIONAL BANK - WOLDEYA BRANC,,WOLDEYA,,,ET,115570000,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69108354,moneygram,AWASH INTERNATIONAL BANK - FURI BRANCH,,SEBETA,,,ET,113679087,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69108448,moneygram,AWASH INTERNATIONAL BANK - KOMBOLCHA BRA,,KOMBOLCHA,,,ET,+251 33 551 0877,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69300479,moneygram,AWASH INTERNATIONAL BANK S.C. - HOLOTA B,,HOLOTA,,,ET,112610004,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69300482,moneygram,AWASH INTERNATIONAL BANK S.C. - GEBRA GU,,GEBRA GURACHA,,,ET,+251 11 131 0722,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
