Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CN0060,hm,Xining City Mall,,Xining,,,CN,,,Mo-Su 10:00-22:00,H&M,Q188326
66826244,moneygram,BOC - #16811 - QHXN YANHUXIANGKOU SUB-BR,,XINING,,,CN,+86 971 630 1312,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826257,moneygram,BOC - #16851 - QHXN SHENGLI SUB-BRANCH,,XINING,,,CN,+86 971 612 5399,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826260,moneygram,BOC - #16809 - QHXN XINNINGLU  SUB-BRANC,,XINING,,,CN,+86 971 615 5644,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826273,moneygram,BOC - #16803 - QHXN XIGUANDAJIE SUB-BRAN,,XINING,,,CN,+86 971 614 3210,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826286,moneygram,BOC - #16806 - QHXN XIGUANDAJIE MIDDLE S,,XINING,,,CN,+86 971 615 4231,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826299,moneygram,BOC - #16807 - QHXN QINGNIANXIANG SUB-BR,,XINING,,,CN,+86 971 615 9973,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826309,moneygram,BOC - #16826 - QHXN BAYILU SUB-BRANCH,,XINING,,,CN,+86 971 817 4234,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826312,moneygram,BOC - #16817 - QHXN XIDAJIE SUB-BRANCH,,XINING,,,CN,+86 971 823 0103,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826325,moneygram,BOC - #16819 - QHXN HUAYUANNANJIE SUB-BR,,XINING,,,CN,+86 971 823 2760,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826367,moneygram,BOC - #16846 - QHXN QINGHAI BRANCH OPERA,,XINING,,,CN,+86 971 818 0188,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826383,moneygram,BOC - #16829 - QHXN MAOSHENGSINAN SUB-BR,,XINING,,,CN,+86 971 512 1875,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
