Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74321582,moneygram,COMMERCIAL BANK OF ETHIOPIA - ABUNEHARA,,BAHIR DAR,,,ET,583205526,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321634,moneygram,COMMERCIAL BANK OF ETHIOPIA - AL MENAR,,BALE ROBE,,,ET,+251 58 226 4326,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321647,moneygram,COMMERCIAL BANK OF ETHIOPIA - ALNUR,,BALE ROBE,,,ET,+251 58 220 0882,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321579,moneygram,COMMERCIAL BANK OF ETHIOPIA - BAHIR DAR,,BAHIR DAR,,,ET,583205180,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321650,moneygram,COMMERCIAL BANK OF ETHIOPIA - DARUL HIJR,,BALE ROBE,,,ET,+251 58 220 6550,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321663,moneygram,COMMERCIAL BANK OF ETHIOPIA - DEWA DINA,,BALE ROBE,,,ET,+251 58 220 1253,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321595,moneygram,COMMERCIAL BANK OF ETHIOPIA - FELEGE GHI,,BAHIR DAR,,,ET,+251 58 226 1261,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321605,moneygram,COMMERCIAL BANK OF ETHIOPIA - PAPYRUS,,BAHIR DAR,,,ET,583205263,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321621,moneygram,COMMERCIAL BANK OF ETHIOPIA - SEBATAMIT,,BAHIR DAR,,,ET,+251 58 220 0767,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321618,moneygram,COMMERCIAL BANK OF ETHIOPIA - YEZELEKA,,BAHIR DAR,,,ET,+251 58 226 6461,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
65671636,moneygram,NIB - WERABE,,WORKAYE,,,ET,710311,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
