City,Place Name,Zipcode,Name
unknown,boots_th,"Unit 202 2nd Floor Robinson Saraburi 
99 Moo 7 Taling Chan Mueang saraburi. 
Saraburi 18000",unknown,Robinson Saraburi
สระบุรี,caltex,,unknown,คาลเท็กซ์ สาขาดาวญาดา 2019 จำกัด สาขา 1 แก่งคอย
สระบุรี,nissan_europe,,unknown,สยามนิสสัน สระบุรี แก่งคอย
unknown,pizza_hut_th,57/5 Sutthat Road Pak Priew Subdistrict Mueang District Saraburi Province 18000,unknown,Taveekij  Saraburi
T.WANGMUANG A.WANGMUANG,shell,,unknown,DO WANGYANG WANGMUANG SRI
T.TUBKWANG A.KAENGKHOI,shell,,unknown,CO PLENARY B1 KAENGKHOI SRI
T.NA YAO A.PHRA PHUTTHABAT,shell,,unknown,DO JAROENRUNGRUANG HUAI BONG SRI
T.WIHANDAENG A.WIHANDEANG,shell,,unknown,DO SAPPERMPOON WIHANDAENG SRI
T.HUAIKHAMIN A.NONGKHAE,shell,,unknown,CO PREMIUM ENERGY SUPPLY B3
T.HUAI SAI A.NONGKHAE,shell,,unknown,CO PREMIUM ENERGY SUPPLY B2
T.BANGKAMOD A.BANMOR,shell,,unknown,DO SAHAKIT THARUE BOR  BANMOR  SRI
T.SUAN DOK MAI A.SAO HAI,shell,,unknown,DO SAMCHAI OIL(SAOHAI) SRB
T.PAKPHRIAO   A.MUEANG,shell,,unknown,DO KITTICHAI PAKPHRIAO  SRI
T.DAORUENG A.MUEANG SARABURI,shell,,unknown,DO SAMCHAI DAORUENG SRI
T.TALINGCHAN A.MUANGSARABURI,shell,,unknown,CO PREMIUM ENERGY SUPPLY B1
T.TRANKASEM A.PRAPUTTABART,shell,,unknown,DO SUPPOONPHOL  PRAPUTTABART  SRI
T.NAPHRALAN   A.CHALOEMPHARAKIAT,shell,,unknown,DO SINCHAI SARABURI SRI
SARABURI,visa,,unknown,unknown
MUEANG,visa,,unknown,unknown
KAENG KHOI,visa,,unknown,unknown
MUAK LEK,visa,,unknown,unknown
Saraburi,western_union,,unknown,GREATMILK THONGCHAIPANICH
Nong Khae,western_union,,unknown,7-11 CHUMCHOM WATNONGPHAK (SARABURI)
Wihan Daeng,western_union,,unknown,THAILAND POST WIHAN DAENG
Nongkhae,western_union,,unknown,BBL HEMARAJ SARABURI INDUSTRIAL ZONE
Mueang,western_union,,unknown,ROBINSON SARABURI BRANCH
Nong Saeng,western_union,,unknown,THAILAND POST NONG SAENG
Don Phut,western_union,,unknown,THAILAND POST DON PHUT
Ban Mo,western_union,,unknown,THAILAND POST BAN MO
Sao Hai,western_union,,unknown,THAILAND POST SAO HAI
Kaeng Khoi,western_union,,unknown,7-11 TALAT TPIPL SARABURI
Nong Don,western_union,,unknown,BAAC NONG DON
Muak Lek,western_union,,unknown,BAAC MUAK LEK
Chaloem Phra Kiat,western_union,,unknown,THAILAND POST PHU KHAE
Phra Phutthabat,western_union,,unknown,THAILAND POST PHRA PHUTTHABAT
Wang Muang,western_union,,unknown,THAILAND POST WANG MUANG
Muak Leak,western_union,,unknown,BAAC  LAM PHAYA KLANG
