City,Place Name,Zipcode,Name
Jülich,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Jülich, Kölnstraße 14"
Erkelenz,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Erkelenz, Kölner Straße 14 b"
Siegburg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Siegburg, Kaiserstraße 34"
Aachen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Aachen Zentrum, Adalbertstraße 49"
Brühl,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Brühl, Markt 3 - 5"
Bad Neuenahr-Ahrweiler,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bad Neuenahr-Ahrweiler, Poststraße 12"
Euskirchen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Euskirchen, Neustr. 41"
Mönchengladbach,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Mönchengladbach Rheydt, Stresemannstr. 49"
Heinsberg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Heinsberg, Hochstraße 129"
Frechen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Frechen, Hauptstraße 102"
Bonn,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bonn Auerberg, Kölnstraße 433"
Bergheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bergheim, Hauptstraße 35"
Grevenbroich,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Grevenbroich, Kölner Straße 4 - 6"
Eschweiler,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Eschweiler, Grabenstraße 78 - 80"
Viersen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Viersen, Hauptstr. 28"
Würselen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Würselen, Kaiserstraße 76"
Düren,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Düren, Wirteltorplatz 6"
Neuss,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Neuss, Krefelder Straße 57"
Rheinbach,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Rheinbach, Hauptstr. 43-45"
Troisdorf,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Troisdorf, Kölner Str. 56-58"
