Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68775186,moneygram,EXPRESS UNION - MOULOUNDOU - NEW MOULOUN,,MOULOUNDOU,,,CM,94188500,,Mo-Sa 07:30-17:30; Su 08:00-15:00,MoneyGram,Q1944412
68778439,moneygram,EXPRESS UNION - KOMBOU - NEW Kombou,,KOMBOU,,,CM,95311411,,Mo-Sa 07:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
68778772,moneygram,EXPRESS UNION - SEMTO - NEW SEMTO,,SEMTO,,,CM,91698668,,Mo-Sa 07:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
68778785,moneygram,EXPRESS UNION - LAFE BALENG - NEW Lafe B,,LAFE BALENG,,,CM,91921565,,Mo-Sa 07:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
68779386,moneygram,EXPRESS UNION - NDIKIMINIKI - NEW NDIKIM,,NDIKIMINIKI,,,CM,96630876,,Mo-Sa 07:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
68779399,moneygram,EXPRESS UNION - NKONDJOCK - NEW NKONDJOC,,NKONDJOCK,,,CM,96297628,,Mo-Sa 07:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
68879325,moneygram,EXPRESS UNION - TOUBOURO - NEW TOUBORO,,TOUBOURO,,,CM,99004270,,Mo-Sa 07:30-17:30; Su 08:00-15:00,MoneyGram,Q1944412
68879422,moneygram,EXPRESS UNION - Maroua Djarengol  - NEW,,MAROUA DJARENGOL,,,CM,98601388,,Mo-Sa 07:30-17:30; Su 08:00-15:00,MoneyGram,Q1944412
70059502,moneygram,EXPRESS UNION - KOUME BONIS - KOUME BONI,,KOUME BONIS,,,CM,+237 6 98 00 72 52,,Mo-Sa 07:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
69270402,moneygram,EXPRESS UNION - DOUALA - DEIDO 3 BOUTIQU,,DOUALA,,,CM,+237 6 91 14 10 88,,Mo-Sa 07:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
69269497,moneygram,EXPRESS UNION - YAOUNDE - COLLEGE MONTI,,YAOUNDE,,,CM,+237 6 90 12 38 95,,Mo-Sa 07:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
