Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65755989,moneygram,MCB BANK LIMITED - #0332,,FAISALABAD,,,PK,+92 41 2644497,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65756108,moneygram,MCB BANK LIMITED - #0350,,JARANWALA,,,PK,+92 41 4312524,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65762558,moneygram,MCB BANK LIMITED - #0366,,FAISALABAD,,,PK,+92 41 8863613,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65763007,moneygram,MCB BANK LIMITED - #0369,,SAMUNDRI,,,PK,+92 41 3422520,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65756247,moneygram,MCB BANK LIMITED - #0391,,FAISALABAD,,,PK,+92 41 8733870,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65756331,moneygram,MCB BANK LIMITED - #0437,,FAISALABAD,,,PK,+92 41 2634437,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65757835,moneygram,MCB BANK LIMITED - #0819,,FAISALABAD,,,PK,+92 41 2670243,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65758821,moneygram,MCB BANK LIMITED - #0984,,FAISALABAD,,,PK,+92 41 2660584,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65758863,moneygram,MCB BANK LIMITED - #1017,,FAISALABAD,,,PK,+92 41 2624712,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65759781,moneygram,MCB BANK LIMITED - #1335,,FAISALABAD,,,PK,+92 41 2661620,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65761410,moneygram,MCB BANK LIMITED - #1567,,FAISALABAD,,,PK,+92 41 8738620,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65138564,moneygram,MCB BANK LIMITED - #326 - FAISALABAD CIR,,FAISALABAD,,,PK,+92 41 2649100,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65138603,moneygram,MCB BANK LIMITED - #373 - FAISALABAD SAT,,FAISALABAD,,,PK,+92 41 8546762,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65138577,moneygram,MCB BANK LIMITED - #995 - FAISALABAD PEO,,FAISALABAD,,,PK,+92 41 8544673,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
