Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68260277,moneygram,DENIZBANK - #9970 - AYDIN - KUSADASI,,AYDIN,,,TR,6127171,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263630,moneygram,DENIZBANK - #4690 - AYDIN - DIDIM,,AYDIN,,,TR,8115606,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264697,moneygram,DENIZBANK - #9940 - AYDIN - NAZILLI,,AYDIN,,,TR,3131615,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264794,moneygram,DENIZBANK - #2590 - AYDIN - SOKE,,AYDIN,,,TR,5131505,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260743,moneygram,DENIZBANK - #2790 - AYDIN - GERMENCIK,,AYDIN,,,TR,5634101,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263067,moneygram,DENIZBANK - #9730 - AYDIN,,AYDIN,,,TR,2122510,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260714,moneygram,DENIZBANK - #2560 - AYDIN - INCIRLIOVA,,AYDIN,,,TR,5851815,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68323127,moneygram,KUVEYT TURK BANK - AYDIN,,AYDIN,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264888,moneygram,DENIZBANK - #2800 - AYDIN - CINE,,AYDIN,,,TR,7117646,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264118,moneygram,DENIZBANK - #5640 - AYDIN - BULVAR,,AYDIN,,,TR,2111044,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261739,moneygram,DENIZBANK - #1280 - AYDIN - KOSK,,AYDIN,,,TR,4611652,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261548,moneygram,DENIZBANK - #4770 - AYDIN - YENIPAZAR,,AYDIN,,,TR,3614848,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261742,moneygram,DENIZBANK - #1240 - AYDIN - GREEN DROP B,,AYDIN,,,TR,4143610,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
