Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68249502,moneygram,KUVEYT TURK BANK - MUGLA,,MUGLA,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263180,moneygram,DENIZBANK - #9810 - MUGLA - MARMARIS,,MUGLA,,,TR,4120969,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263672,moneygram,DENIZBANK - #4890 - MUGLA - YALIKAVAK,,MUGLA,,,TR,3864386,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263892,moneygram,DENIZBANK - #1780 - MUGLA,,MUGLA,,,TR,2142060,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264833,moneygram,DENIZBANK - #2650 - MUGLA - ORTACA,,MUGLA,,,TR,2826600,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260675,moneygram,DENIZBANK - #2640 - MUGLA - MILAS,,MUGLA,,,TR,5122348,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263135,moneygram,DENIZBANK - #9640 - MUGLA - BODRUM,,MUGLA,,,TR,3194554,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263685,moneygram,DENIZBANK - #4900 - MUGLA - TURGUTREIS,,MUGLA,,,TR,3829898,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260604,moneygram,DENIZBANK - #2670 - MUGLA - CARSI BODRUM,,MUGLA,,,TR,3167398,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264684,moneygram,DENIZBANK - #2170 - MUGLA - FETHIYE,,MUGLA,,,TR,6142307,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262152,moneygram,DENIZBANK - #5250 - MUGLA - KARACULHA,,MUGLA,,,TR,6464025,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
