Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
69405730,moneygram,CBE - HARO LIMU,,HARO LIMU,,,ET,+251 92 861 6424,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69405798,moneygram,CBE - MUKLEMI,,BOJI,,,ET,+251 91 785 2001,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69405824,moneygram,CBE - AGAMSA,,AGAMSA,,,ET,+251 91 228 7706,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69405837,moneygram,CBE - FINCHA,,FINCHA,,,ET,+251 57 664 0499,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69405853,moneygram,CBE - ARJO,,ARJO,,,ET,+251 57 667 0057,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69502507,moneygram,CBE - ALIBO,,ALIBO,,,ET,576370405,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70253531,moneygram,CBE - GUDEYA BILA - GUDEYA BILA,,GUDEYA BILA,,,ET,+251 91 317 7415,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70253528,moneygram,CBE - NEK'EMTE - BIFTU NEKEMTE,,NEK'EMTE,,,ET,+251 57 661 5122,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69405866,moneygram,CBE - WAMA,,WAMA,,,ET,+251 57 661 1192,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
67085754,moneygram,CBE - ENZI,,ASSOSA,,,ET,+251 57 775 2701,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71764841,moneygram,COMMERCIAL BANK OF ETHIOPIA - GUDETU ARJ,,GUDETU ARJO,,,ET,461160015,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71764948,moneygram,COMMERCIAL BANK OF ETHIOPIA - WAYU - CBE,,WAYU,,,ET,462230359,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71914031,moneygram,COMMERCIAL BANK OF ETHIOPIA - CBE-ABDISA,,ADDIS ABABA,,,ET,467710135,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71914109,moneygram,COMMERCIAL BANK OF ETHIOPIA - CBE-ELU GE,,ADDIS ABABA,,,ET,465500186,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71914028,moneygram,COMMERCIAL BANK OF ETHIOPIA - CBE-KUMSA,,ADDIS ABABA,,,ET,463300052,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
