City,Place Name,Zipcode,Name
Panama City,american_eagle_outfitters,,unknown,"American Eagle Store Via Israel,  San Francisco de la Caleta"
Ciudad de Panamá,american_eagle_outfitters,,unknown,American Eagle Store Albrook Mall
Panama,audi,calle 50 n/a 0823n/a05506 Panama,unknown,Audi Center Calle 50
Panama,audi,Boulevard Oeste Santa Maria business district n/a 0823n/a05506 Panama,unknown,Audi Center Santa Maria
Distrito de Panama,hooters,Calle Uruguay y Calle 50 Casa No. 46 Panama Panama,unknown,Hooters
Panama City,sbarro,Carretera Panamericana Chame Panama Oeste Panama,unknown,Sbarro Coronado
Villa Catalina,sbarro,Don Bosco Villa Catalina Av. Rodolfo Aguilera,unknown,Villa Catalina Sbarro
Panama City,sbarro,Avenida Nicanor De Obarrio (Calle 50) Terpel Panama Panama,unknown,Sbarro Calle 50
PANAMA,visa,,unknown,unknown
CHEPO,visa,,unknown,unknown
SAN MIGUELITO,visa,,unknown,unknown
TABOGA,visa,,unknown,unknown
ARRAIJAN,visa,,unknown,unknown
Pacora,western_union,,unknown,WU XTRA PACORA
Cabra,western_union,,unknown,MAXI TRANSFERENCIA
Nuevo Tocumen,western_union,,unknown,MAS ME DAN PLAZA NUEVO TOCUMEN
24 De Diciembre,western_union,,unknown,EL FUERTE 24 DE DIC
Tocumen,western_union,,unknown,SUPER CASH TOCUMEN
Albrook,western_union,,unknown,MAS ME DAN ALBROOK TERMINAL
Calidonia,western_union,,unknown,INVERSIONES CRISBRANLEE
Bella Vista,western_union,,unknown,EMPENOS VENETO 2
Ave Central,western_union,,unknown,MAS ME DAN CENTRAL  CL  17
Santa Ana,western_union,,unknown,WU MACHETAZO SANTA ANA
Casco Viejo,western_union,,unknown,AM PM CASCO VIEJO
Chorrillo,western_union,,unknown,WU XTRA CHORRILLO
Anama,western_union,,unknown,AM PM NEW DORADO
Vista Hermosa,western_union,,unknown,MAS ME DAN VISTA HERMOSA
Via Porras,western_union,,unknown,MAS ME DAN VIA PORRAS
Betania,western_union,,unknown,AM PM JUPITER
Via Israel,western_union,,unknown,WU MULTIPLAZA
Transismica,western_union,,unknown,MAS ME DAN TRANSISTMICA
Via Transismica,western_union,,unknown,WU XTRA TRANSISTMICA
Calle 50,western_union,,unknown,AM PM NEW YORK
Obarrio,western_union,,unknown,AM PM BEIRUT
Chepo,western_union,,unknown,SUPERMERCADO PLAZA DE LA CARNE
Juan Diaz,western_union,,unknown,MAS ME DAN EL PARADOR
Costa Del Este,western_union,,unknown,ZOOM SERVICE PANAMA S A
San Miguelito,western_union,,unknown,SUPER CASH CERRO V 1
Parque Lefevre,western_union,,unknown,EL PENON PARQUE LEFEVRE
Panama,western_union,,unknown,EL PENON DON BOSCO
Chanis,western_union,,unknown,JUMBO MARKET CHANIS
Via Espana,western_union,,unknown,AM PM VIA ESPANA
Via Argentina,western_union,,unknown,AM PM CANGREJO
Via Veneto,western_union,,unknown,MAS ME DAN VENETO
Ave. Balboa,western_union,,unknown,WU MULTICENTRO
Rio Abajo,western_union,,unknown,MAS ME DAN RIO ABAJO
Via Ricardo J. Alfaro,western_union,,unknown,MAS ME DAN DORADO 2
12 De Octubre,western_union,,unknown,SUPER CASH 12 DE OCTUBRE
Villa Zaita Panama,western_union,,unknown,EL FUERTE VILLA ZAITA
Villa Zaita,western_union,,unknown,MONKEY PRINT VILLA ZAITA
Los Pueblos,western_union,,unknown,MAS ME DAN LOS PUEBLOS
Villa Lucre,western_union,,unknown,MAS ME DAN VILLA LUCRE
Los Andes,western_union,,unknown,MAS ME DAN LOS ANDES 1
La Cabima,western_union,,unknown,MAS ME DAN LA CABIMA
Plaza Tocumen,western_union,,unknown,MULTICASH PLAZA TOCUMEN
Brisas Del Golf,western_union,,unknown,EL PENON BRISAS DEL GOLF
Las Acacias,western_union,,unknown,MAS ME DAN LAS ACACIAS
Pedregal,western_union,,unknown,MAS ME DAN PEDREGAL
Villa Grecia,western_union,,unknown,MAXI TRANSFERENCIA VILLA GRECIA
Costa Sur,western_union,,unknown,WU MACHETAZO COSTA SUR
Chilibre,western_union,,unknown,MINI SUPER LA ROSA ROJA
Mananitas,western_union,,unknown,JUMBO MARKET LAS MANANITAS
Las Cumbres,western_union,,unknown,WU XTRA EL LAGO
