Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68458571,moneygram,SAIGONBANK - #95 - DISTRICT 5 TRANSACTIO,,DISTRICT 5,,,VN,+84 28 3856 4987,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
70995284,moneygram,HDBANK - #068 - HO CHI MINH CITY - TRUNG,,HO CHI MINH CITY,,,VN,+84 28 6291 5916,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995307,moneygram,HDBANK - #065 - HO CHI MINH CITY - CMT8,,HO CHI MINH CITY,,,VN,+84 28 3925 9577,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995310,moneygram,HDBANK - #052 - HO CHI MINH - NAM KY KHO,,HO CHI MINH,,,VN,+84 28 3932 2736,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995323,moneygram,HDBANK - #074 - HO CHI MINH CITY - HUYNH,,HO CHI MINH CITY,,,VN,+84 28 3773 8648,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995365,moneygram,HDBANK - #067 - HO CHI MINH CITY - TAN D,,HO CHI MINH CITY,,,VN,+84 28 3820 9485,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995378,moneygram,HDBANK - #238 - HO CHI MINH CITY - BINH,,HO CHI MINH CITY,,,VN,+84 28 7303 3338,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995352,moneygram,HDBANK - #002 - HO CHI MINH CITY - PHU N,,HO CHI MINH CITY,,,VN,+84 28 3995 4554,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995394,moneygram,HDBANK - #081 - HO CHI MINH CITY - LE QU,,HO CHI MINH CITY,,,VN,+84 28 3550 1103,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995381,moneygram,HDBANK - #018 - HO CHI MINH CITY - BACH,,HO CHI MINH CITY,,,VN,+84 28 7309 8808,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995475,moneygram,HDBANK - #023 - HO CHI MINH CITY - NGO G,,HO CHI MINH CITY,,,VN,+84 28 3927 3606,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995488,moneygram,HDBANK - #036 - HO CHI MINH CITY - 3 THA,,HO CHI MINH CITY,,,VN,+84 28 3868 5676,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995501,moneygram,HDBANK - #090 - HO CHI MINH CITY - NGUYE,,HO CHI MINH CITY,,,VN,+84 28 3920 8525,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995420,moneygram,HDBANK - #016 - HO CHI MINH CITY - HOA B,,HO CHI MINH CITY,,,VN,+84 28 3961 6523,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995514,moneygram,HDBANK - #233 - HO CHI MINH CITY - CAY G,,HO CHI MINH CITY,,,VN,+84 28 5406 2962,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995527,moneygram,HDBANK - #005 - HO CHI MINH CITY - VAN H,,HO CHI MINH CITY,,,VN,+84 28 3818 1222,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
