Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
70996733,moneygram,HDBANK - #009 - HA NOI - HA NOI,,HA NOI,,,VN,+84 24 3747 4393,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996746,moneygram,HDBANK - #033 - HA NOI - HONG HA,,HA NOI,,,VN,+84 24 3932 9008,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996759,moneygram,HDBANK - #024 - HA NOI - HAI BA TRUNG,,HA NOI,,,VN,+84 24 3976 5524,,Mo-Fr 08:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996762,moneygram,HDBANK - #021 - HA NOI - DONG DA,,HA NOI,,,VN,+84 24 3513 2344,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996791,moneygram,HDBANK - #075 - HA NOI - HA THANH,,HA NOI,,,VN,+84 24 3987 8481,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996814,moneygram,HDBANK - #069 - HA NOI - DONG DO,,HA NOI,,,VN,+84 24 3929 1666,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996827,moneygram,HDBANK - #096 - HA NOI - NAM DO,,HA NOI,,,VN,+84 24 3628 5639,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996843,moneygram,HDBANK - #105 - HA NOI - THANH CONG,,HA NOI,,,VN,+84 24 3773 8919,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996856,moneygram,HDBANK - #116 - HA NOI - THUONG DINH,,HA NOI,,,VN,+84 24 3551 0283,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996869,moneygram,HDBANK - #115 - HA NOI - HOANG MAI,,HA NOI,,,VN,+84 24 3640 0832,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996898,moneygram,HDBANK - #022 - HA NOI - THANH DO,,HA NOI,,,VN,+84 24 3562 6815,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996908,moneygram,HDBANK - #028 - HA NOI - HA DONG,,HA NOI,,,VN,+84 24 3355 3888,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996911,moneygram,HDBANK - #066 - HA NOI - THU DO,,HA NOI,,,VN,+84 24 3944 8895,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996937,moneygram,HDBANK - #071 - HA NOI - TRANG TIEN,,HA NOI,,,VN,+84 24 3747 5956,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996940,moneygram,HDBANK - #058 - HA NOI - NGUYEN TRUONG T,,HA NOI,,,VN,+84 24 3927 5448,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996953,moneygram,HDBANK - #101 - HA NOI - TRIEU KHUC,,HA NOI,,,VN,+84 24 3552 8019,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996966,moneygram,HDBANK - #072 - HA NOI - LE THANH NGHI,,HA NOI,,,VN,+84 24 3627 6748,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996982,moneygram,HDBANK - #124 - HA NOI - TRANG AN,,HA NOI,,,VN,+84 24 3760 6066,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996995,moneygram,HDBANK - #130 - HA NOI - NAM HA NOI,,HA NOI,,,VN,+84 24 3939 3540,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997017,moneygram,HDBANK - #027 - HA NOI - TAY DO,,HA NOI,,,VN,+84 24 3782 5566,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997033,moneygram,HDBANK - #062 - HA NOI - TAY HO,,HA NOI,,,VN,+84 24 3758 6062,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997059,moneygram,HDBANK - #108 - HA NOI - TAY HA NOI,,HA NOI,,,VN,+84 24 3748 0979,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997062,moneygram,HDBANK - #073 - HA NOI - CAU GIAY,,HA NOI,,,VN,+84 24 3768 8806,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997075,moneygram,HDBANK - #107 - HA NOI - THANH XUAN,,HA NOI,,,VN,+84 24 6281 6189,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997091,moneygram,HDBANK - #114 - HA NOI - TRUNG YEN,,HA NOI,,,VN,+84 24 3652 7169,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997114,moneygram,HDBANK - #128 - HA NOI - TU LIEM,,HA NOI,,,VN,+84 24 3786 0012,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997130,moneygram,HDBANK - #187 - HA NOI - NGUYEN CHI THAN,,HA NOI,,,VN,+84 24 3775 9744,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997156,moneygram,HDBANK - #190 - HA NOI - O CHO DUA,,HA NOI,,,VN,+84 24 3514 9850,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997172,moneygram,HDBANK - #192 - HA NOI - MY DINH,,HA NOI,,,VN,+84 24 3795 8848,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997185,moneygram,HDBANK - #193 - HA NOI - HO GUOM,,HA NOI,,,VN,+84 24 3933 5373,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997198,moneygram,HDBANK - #194 - HA NOI - HA HUY TAP,,HA NOI,,,VN,+84 24 3652 6819,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997208,moneygram,HDBANK - #195 - HA NOI - HANG BUOM,,HA NOI,,,VN,+84 24 3926 4781,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997224,moneygram,HDBANK - #197 - HA NOI - YEN PHU,,HA NOI,,,VN,+84 24 3715 3546,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997240,moneygram,HDBANK - #199 - HA NOI - KHAM THIEN,,HA NOI,,,VN,+84 24 3923 4888,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997253,moneygram,HDBANK - #200 - HA NOI - LUONG DINH CUA,,HA NOI,,,VN,+84 24 3576 5976,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997279,moneygram,HDBANK - #202 - HA NOI - THAI THINH,,HA NOI,,,VN,+84 24 3538 1046,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997046,moneygram,HDBANK - #102 - HA NOI - KIM LIEN,,HA NOI,,,VN,+84 24 3366 1229,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996979,moneygram,HDBANK - #113 - HA NOI - LONG BIEN,,HA NOI,,,VN,+84 24 3652 6819,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996775,moneygram,HDBANK - #042 - HA NOI - LINH DAM,,HA NOI,,,VN,+84 24 3540 1006,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997127,moneygram,HDBANK - #186 - HA NOI - HUNG VUONG,,HA NOI,,,VN,+84 24 6258 4179,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997020,moneygram,HDBANK - #034 - HA NOI - TRUNG HOA,,HA NOI,,,VN,+84 24 6281 6189,,Mo-Fr 08:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996872,moneygram,HDBANK - #125 - HA NOI - YEN THAI,,HA NOI,,,VN,+84 24 3759 2906,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996885,moneygram,HDBANK - #020 - HA NOI - HOAN KIEM,,HA NOI,,,VN,+84 24 3944 6633,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996788,moneygram,HDBANK - #061 - HA NOI - HOANG VAN THAI,,HA NOI,,,VN,+84 24 3566 7037,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996924,moneygram,HDBANK - #057 - HA NOI - TRAN HUNG DAO,,HA NOI,,,VN,+84 24 3941 0177,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997211,moneygram,HDBANK - #196 - HA NOI - NGUYEN KHANG,,HA NOI,,,VN,+84 24 3540 2261,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997004,moneygram,HDBANK - #013 - HA NOI - BA DINH,,HA NOI,,,VN,+84 24 3755 5959,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997088,moneygram,HDBANK - #117 - HA NOI - MY DINH 1,,HA NOI,,,VN,+84 24 2221 3980,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997101,moneygram,HDBANK - #118 - HA NOI - MY DINH 2,,HA NOI,,,VN,+84 24 3787 8283,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997143,moneygram,HDBANK - #189 - HA NOI - TRAN DUY HUNG,,HA NOI,,,VN,+84 24 6281 4231,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996830,moneygram,HDBANK - #097 - HA NOI - KINH DO,,HA NOI,,,VN,+84 24 3538 0659,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70997169,moneygram,HDBANK - #191 - HA NOI - QUANG TRUNG,,HA NOI,,,VN,+84 24 3355 4924,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
41517837,moneygram,SAIGONBANK - #10 - HOAN KIEM BRANCH,,HOAN KIEM,,,VN,+84 24 2218 4662,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43652376,moneygram,SAIGONBANK - #21 - DONG DA BRANCH,,DONG DA,,,VN,+84 24 3537 5962,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43452411,moneygram,SAIGONBANK - #02 - BA DINH BRANCH,,DONG DA,,,VN,+84 24 3775 7888,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
40299622,moneygram,SAIGONBANK - #08 - HA NOI BRANCH,,HAI BA TRUNG,,,VN,+84 24 3537 9946,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43790296,moneygram,SAIGONBANK - #23 - LONG BIEN BRANCH,,THANH XUAN,,,VN,+84 24 3557 9746,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43790319,moneygram,SAIGONBANK - #24 - CAU GIAY BRANCH,,CAU GIAY,,,VN,+84 24 3745 0129,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
45145276,moneygram,SAIGONBANK - #46 - NAM DONG TRANSACTION,,HAI BA TRUNG,,,VN,+84 24 3573 7708,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
44795520,moneygram,SAIGONBANK - #42 - THANH NHAN TRANSACTIO,,HAI BA TRUNG,,,VN,+84 24 3972 5204,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
47756870,moneygram,SAIGONBANK - #38 - LO DUC TRANSACTION OF,,HAI BA TRUNG,,,VN,+84 24 3976 5624,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
64368238,moneygram,SAIGONBANK - #40 - HANG MA TRANSACTION O,,HOAN KIEM,,,VN,+84 24 3938 0234,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
65679777,moneygram,SAIGONBANK - #69 - DAO TAN TRANSACTION O,,THANH XUAN,,,VN,+84 24 2260 8895,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
66178798,moneygram,SAIGONBANK - #79 - XUAN THUY TRANSACTION,,BA DINH,,,VN,+84 24 3787 2051,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
66589400,moneygram,SAIGONBANK - #84 - DUC GIANG TRANSACTION,,THANH XUAN,,,VN,+84 24 3222 2971,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
66589455,moneygram,SAIGONBANK - #86 - QUAN HOA TRANSACTION,,DONG DA,,,VN,+84 24 3232 1083,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
66589484,moneygram,SAIGONBANK - #87 - MAI DICH TRANSACTION,,CAU GIAY,,,VN,+84 24 3792 1216,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
47756867,moneygram,SAIGONBANK - #37 - TRUNG HOA TRANSACTION,,CAU GIAY,,,VN,+84 24 3783 3698,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
67029998,moneygram,SAIGONBANK - #90 - VINH PHUC TRANSACTION,,CAU GIAY,,,VN,+84 24 6684 6689,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
67030068,moneygram,SAIGONBANK - #91 - KIM MA TRANSACTION OF,,DONG DA,,,VN,+84 24 3734 1651,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
