Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74616967,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138125,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74616983,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138153,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74616970,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138194,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74616996,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138183,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74617021,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138091,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74617089,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138124,,Mo-Sa 08:00-17:30; Su 00:00-24:00,MoneyGram,Q1944412
74617092,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6000898,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74617047,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138157,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74617050,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138161,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74617018,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138163,,Mo-Sa 09:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74617034,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138090,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74617063,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138198,,Mo-Sa 07:00-16:30; Su 00:00-24:00,MoneyGram,Q1944412
74617005,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138098,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74617076,moneygram,MASRED - BARRANCABERMEJA - JOYERIA OROEX,,BARRANCABERMEJA,,,CO,+57 607 6138139,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
