Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
32d562aa3aad6f8cb26ddee94434dedc,western_union,CHINA CONSTRUCTION BANK,,Siping,JILIN,,CN,+86 434 351 7335,https://location.westernunion.com/cn/jilin/siping/32d562aa3aad6f8cb26ddee94434dedc,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
81b221c87780936c10c092fc70035285,western_union,BANK OF CHINA,,Siping,JILIN,,CN,+86 434 322 1474,https://location.westernunion.com/cn/jilin/siping/81b221c87780936c10c092fc70035285,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
cdb34fd21e2ce77f5aafc03b0451a7b3,western_union,BANK OF CHINA,,Siping,JILIN,,CN,+86 434 325 6164,https://location.westernunion.com/cn/jilin/siping/cdb34fd21e2ce77f5aafc03b0451a7b3,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
6f793f38cb9b2b8f41328c0263c602af,western_union,POSTAL SAVINGS BANK OF CHINA,,Siping,JILIN,,CN,+86 434 323 1384,https://location.westernunion.com/cn/jilin/siping/6f793f38cb9b2b8f41328c0263c602af,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
bc38e087eedc47ab91dbb2a9d08bce62,western_union,BANK OF CHINA,,Siping,JILIN,,CN,+86 434 322 6897,https://location.westernunion.com/cn/jilin/siping/bc38e087eedc47ab91dbb2a9d08bce62,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
8a13f044e8ebd1387284111617747a62,western_union,BANK OF CHINA,,Baishan,JILIN,,CN,+86 439 375 7666,https://location.westernunion.com/cn/jilin/baishan/8a13f044e8ebd1387284111617747a62,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
7d21b73135f62b3bfb514398cdefb01c,western_union,BANK OF CHINA,,Siping,JILIN,,CN,+86 434 363 0552,https://location.westernunion.com/cn/jilin/siping/7d21b73135f62b3bfb514398cdefb01c,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
d997c6f6d8318a87d2b637f0f45df7df,western_union,BANK OF CHINA,,Siping,JILIN,,CN,+86 434 326 7824,https://location.westernunion.com/cn/jilin/siping/d997c6f6d8318a87d2b637f0f45df7df,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
329e9eb793b8a4cc1a0fe9c3e31c1202,western_union,BANK OF CHINA,,Siping,JILIN,,CN,+86 434 326 6115,https://location.westernunion.com/cn/jilin/siping/329e9eb793b8a4cc1a0fe9c3e31c1202,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
d423897b814aa2c69228d18b38eaf362,western_union,CHINA CONSTRUCTION BANK,,Siping,JILIN,,CN,+86 434 686 6881,https://location.westernunion.com/cn/jilin/siping/d423897b814aa2c69228d18b38eaf362,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
6124e6a98a45d35cbd237de1347616a2,western_union,BANK OF CHINA,,Siping,JILIN,,CN,+86 434 420 3383,https://location.westernunion.com/cn/jilin/siping/6124e6a98a45d35cbd237de1347616a2,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,Western Union,Q861042
