Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
velespeed:19,gbfs,Açik Pazar Alanı,,,,,CY,,https://en.velespeed.net/,,Velespeed,
68441517,moneygram,KOOPBANK - #3 - NICOSIA - YENISEHIR BRAN,,LEFKOSIA,,,CY,3922274954,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68440958,moneygram,KOOPBANK - #2 - NICOSIA - DOWNTOWN CENTR,,LEFKOSIA,,,CY,3922283207,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68440961,moneygram,KOOPBANK - #4 - NICOSIA - TASKINKOY BRAN,,LEFKOSIA,,,CY,3922252316,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68441520,moneygram,KOOPBANK - #7 - NICOSIA - ORTAKOY BRANCH,,LEFKOSIA,,,CY,3922280651,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68440974,moneygram,KOOPBANK - #6 - NICOSIA - VADILI BRANCH,,LEFKOSIA,,,CY,3923977691,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68440987,moneygram,KOOPBANK - #8 - NICOSIA - AKDOGAN BRANCH,,LEFKOSIA,,,CY,3923778321,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68441203,moneygram,KOOPBANK - #5 - NICOSIA - GONYELI BRANCH,,LEFKOSIA,,,CY,3922235185,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73722454,moneygram,NICOSIA CENTRAL,,LEFKOSIA,,,CY,5469900050,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73766397,moneygram,GONYELI - #12 - NICOSIA - GONYELI,,NICOSIA,,,CY,+90 392 444 93 78,,Mo-Sa 08:30-15:30; Su 00:00-24:00,MoneyGram,Q1944412
71065838,moneygram,LIMASOL TURKISH COOPERATIVE BANK LTD. -,,LEFKOSIA,,,CY,3922257834,,Mo-Fr 08:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71065825,moneygram,LIMASOL TURKISH COOPERATIVE BANK LTD. -,,LEFKOSIA,,,CY,3922284338,,Mo-Fr 08:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71065854,moneygram,LIMASOL TURKISH COOPERATIVE BANK LTD. -,,LEFKOSIA,,,CY,3922232520,,Mo-Fr 08:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71065841,moneygram,LIMASOL TURKISH COOPERATIVE BANK LTD. -,,LEFKOSIA,,,CY,3922454350,,Mo-Fr 08:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71065812,moneygram,LIMASOL TURKISH COOPERATIVE BANK LTD. -,,LEFKOSIA,,,CY,3922280333,,Mo-Fr 08:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71065867,moneygram,LIMASOL TURKISH COOPERATIVE BANK LTD. -,,LEFKOSIA,,,CY,3922277876,,Mo-Fr 08:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
