Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68923394,moneygram,BANK OF AFRICA - MASAKA,,MASAKA,,,UG,+256 41 4302001,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
68923404,moneygram,BANK OF AFRICA - KAMPALA,,KAMPALA,,,UG,+256 41 4302001,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
43733101,moneygram,BANK OF AFRICA,,KAMPALA,,,UG,+256 41 4270810,,Mo-Fr 08:00-17:30; Sa 08:30-13:30; Su 00:00-24:00,MoneyGram,Q1944412
44816564,moneygram,BANK OF AFRICA - #115,,KAMPALA,,,UG,+256 41 4302149,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
45253553,moneygram,BANK OF AFRICA - #115,,ARUA,,,UG,+256 41 4301002,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
65114740,moneygram,BANK OF AFRICA - #115,,MBARARA,,,UG,+256 41 4301002,,Mo-Fr 08:00-20:30; Sa 08:00-16:30; Su 00:00-24:00,MoneyGram,Q1944412
65488353,moneygram,BANK OF AFRICA - #13,,KAMPALA,,,UG,+256 41 4530057,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
65488366,moneygram,BANK OF AFRICA - #14,,JINJA,,,UG,+256 43 4120093,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
65488379,moneygram,BANK OF AFRICA - #15,,WAKISO,,,UG,+256 41 4322581,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
65488382,moneygram,BANK OF AFRICA - #16,,FORT PORTAL,,,UG,+256 483 422025,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
65488395,moneygram,BANK OF AFRICA - #17,,GULU,,,UG,+256 41 4302001,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
65488405,moneygram,BANK OF AFRICA - #18,,KAMPALA,,,UG,+256 41 4302001,,Mo-Fr 08:00-20:30; Sa 08:00-16:30; Su 00:00-24:00,MoneyGram,Q1944412
66104665,moneygram,BANK OF AFRICA - MUKONO BRANCH,,MUKONO,,,UG,+256 41 4302001,,Mo-Fr 08:00-19:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
66104678,moneygram,BANK OF AFRICA - KABALAGALA BRANCH,,KAMPALA,,,UG,+256 41 4302001,,Mo-Fr 08:00-19:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
66698537,moneygram,BANK OF AFRICA - KAMPALA - KAWEMPE,,KAMPALA,,,UG,+256 41 4567240,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 08:00-18:00,MoneyGram,Q1944412
66870216,moneygram,BANK OF AFRICA - KAMPALA - KOLOLO BRANCH,,KAMPALA,,,UG,+256 41 4302001,,Mo-Fr 08:00-20:30; Sa 08:00-16:30; Su 00:00-24:00,MoneyGram,Q1944412
66870229,moneygram,BANK OF AFRICA - KAMPALA - LUZIRA BRANCH,,KAMPALA,,,UG,+256 41 4302002,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
66870232,moneygram,BANK OF AFRICA - KAMPALA - NANSANA BRANC,,KAMPALA,,,UG,+256 41 4302003,,Mo-Fr 08:00-20:30; Sa 08:00-16:30; Su 00:00-24:00,MoneyGram,Q1944412
66870274,moneygram,BANK OF AFRICA - HOIMA - HOIMA BRANCH,,HOIMA,,,UG,+256 41 4302005,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
66870300,moneygram,BANK OF AFRICA - PATONGO - AGAGO BRANCH,,PATONGO,,,UG,+256 41 4302006,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
66870245,moneygram,BANK OF AFRICA - KAMPALA - NATEETE BRANC,,KAMPALA,,,UG,+256 41 4302004,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67562468,moneygram,BANK OF AFRICA - #01026 - KAMPALA - NAMA,,KAMPALA,,,UG,+256 41 4501449,,Mo-Fr 08:30-17:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67562484,moneygram,BANK OF AFRICA - #10028 - PATONGO - KALO,,PATONGO,,,UG,+256 41 4302001,,Mo-Fr 08:30-17:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67562497,moneygram,BANK OF AFRICA - #01007 - KAMPALA - RWEN,,KAMPALA,,,UG,+256 41 4372574,,Mo-Fr 08:30-17:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67562510,moneygram,BANK OF AFRICA - #01025 - BBIRA,,BBIRA,,,UG,+256 41 4302781,,Mo-Fr 08:30-17:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
