Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66676876,moneygram,BOC - #05237 - JLSY JIANSHE STREET SUB-B,,SONGYUAN,,,CN,+86 438 310 0303,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66676931,moneygram,BOC - #05229 - JLSY XINGLONG STREET SUB-,,SONGYUAN,,,CN,+86 438 212 3398,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66676779,moneygram,BOC - #05236 - JLSY CHANGNING SUB-BR,,SONGYUAN,,,CN,+86 438 315 3114,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66677011,moneygram,BOC - #05230 - JLSY NANYUAN SUB-BR,,SONGYUAN,,,CN,+86 438 213 4843,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66676986,moneygram,BOC - #05233 - JLSY KANGNING STREET SUB-,,SONGYUAN,,,CN,+86 438 212 8524,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66676737,moneygram,BOC - #24022 - JLSY WENHUA ROAD SUB-BR,,SONGYUAN,,,CN,+86 438 312 3158,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66676782,moneygram,BOC - #05348 - JLSY SONGYUAN SUB-BR,,SONGYUAN,,,CN,+86 438 212 2338,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66677037,moneygram,BOC - #05235 - JLSY NINGJIANG SUB-BR,,SONGYUAN,,,CN,+86 438 312 5932,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66676957,moneygram,BOC - #05231 - JLSY JINJIANG STREET SUB-,,SONGYUAN,,,CN,+86 438 622 6006,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66677286,moneygram,BOC - #05234 - JLSY QIANGUO SUB-BR,,SONGYUAN,,,CN,+86 438 625 2171,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66677422,moneygram,BOC - #05227 - JLSY YOUTIAN SUB-BR,,SONGYUAN,,,CN,+86 438 228 2802,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66677396,moneygram,BOC - #05226 - JLSY TIEXI SUB-BR,,SONGYUAN,,,CN,+86 438 215 2451,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66676850,moneygram,BOC - #05228 - JLSY GUOERLUOSI ROAD SUB-,,SONGYUAN,,,CN,+86 438 213 4847,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66677477,moneygram,BOC - #05232 - JLSY YUCAI SUB-BR,,SONGYUAN,,,CN,+86 438 611 5055,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
66677354,moneygram,BOC - #05238 - JLSY QIANJIN STREET SUB-B,,SONGYUAN,,,CN,+86 438 315 2973,,Mo-Fr 08:30-16:00; Sa-Su 09:00-15:30,MoneyGram,Q1944412
67702752,moneygram,BOC - #05301 - JLSY BINJIANGJIAYUAN SUBB,,SONGYUAN,,,CN,+86 438 621 6459,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
