Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65711965,moneygram,BOC - #13697 - GDMZ LIDULU SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9431,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65711981,moneygram,BOC - #13700 - GDMZ CITY GARDON SUBBRANC,,MEIZHOU,,,CN,+86 753 251 6066,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65712003,moneygram,BOC - #13698 - GDMZ BINFANG DADAO SUBBRA,,MEIZHOU,,,CN,+86 753 218 9220,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65712032,moneygram,BOC - #13699 - GDMZ XIQIAO SUBBRANCH,,MEIZHOU,,,CN,+86 753 259 3900,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65712045,moneygram,BOC - #13707 - GDMZ XINYUAN SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9265,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65712061,moneygram,BOC - #13708 - GDMZ GUZHOULU SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9203,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65712074,moneygram,BOC - #13705 - GDMZ JINSHAN SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9202,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65712087,moneygram,BOC - #13704 - GDMZ HUAQIAOCHENG SUBBRAN,,MEIZHOU,,,CN,+86 753 251 5801,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65712113,moneygram,BOC - #13709 - GDMZ XINCHENG SUBBRANCH,,MEIZHOU,,,CN,+86 753 256 2991,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65712139,moneygram,BOC - #13706 - GDMZ KEJILU SUBBRANCH,,MEIZHOU,,,CN,+86 753 251 1589,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65711839,moneygram,BOC - #33766 - GDMZ MEIZHOU SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9266,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65711855,moneygram,BOC - #13702 - GDMZ MEIJIANG SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9262,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65711897,moneygram,BOC - #13703 - GDMZ MEIXIAN SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9210,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65711910,moneygram,BOC - #13696 - GDMZ JIAYINLU SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9263,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65711936,moneygram,BOC - #13701 - GDMZ NANMEN SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9432,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65711949,moneygram,BOC - #13695 - GDMZ MEITANG SUBBRANCH,,MEIZHOU,,,CN,+86 753 218 9264,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
