City,Place Name,Zipcode,Name
Ulm,footlocker,,unknown,"Foot Locker in Ulm: Ulm, Baden-Württemberg | Approved | Own It"
Stuttgart,footlocker,,unknown,"Foot Locker in Stuttgart: Stuttgart, Baden-Württemberg | Approved | Own It"
Sindelfingen,footlocker,,unknown,"Foot Locker in : Sindelfingen, Baden-Württemberg | Approved | Own It"
Reutlingen,footlocker,,unknown,"Foot Locker in Reutlingen: Reutlingen, Baden-Württemberg | Approved | Own It"
Pforzheim,footlocker,,unknown,"Foot Locker in Pforzheim: Pforzheim, Baden-Württemberg | Approved | Own It"
Mannheim,footlocker,,unknown,"Foot Locker in Mannheim: Mannheim, Baden-Württemberg | Approved | Own It"
Krefeld,footlocker,,unknown,"Foot Locker in : Krefeld, Baden-Württemberg | Approved | Own It"
Karlsruhe,footlocker,,unknown,"Foot Locker in Karlsruhe: Karlsruhe, Baden-Württemberg | Approved | Own It"
Heilbronn,footlocker,,unknown,"Foot Locker in Heilbronn: Heilbronn, Baden-Württemberg | Approved | Own It"
Heidelberg,footlocker,,unknown,"Foot Locker in Heidelberg: Heidelberg, Baden-Württemberg | Approved | Own It"
Freiburg,footlocker,,unknown,"Foot Locker in Freiburg: Freiburg, Baden-Württemberg | Approved | Own It"
