City,Place Name,Zipcode,Name
Tainan City,mercedes_benz,,unknown,"BinHong Motors Co.,Ltd."
東區,pizza_hut_tw,台南市東區東寧路456號,unknown,台南成大店
東區,pizza_hut_tw,台南市東區崇明路203號,unknown,台南崇明店
南區,pizza_hut_tw,台南市南區新興路361號,unknown,台南金華店
北區,pizza_hut_tw,台南市北區文賢路319號,unknown,台南文賢外送店
北區,pizza_hut_tw,台南市北區西門路三段270號,unknown,台南西門店
安南區,pizza_hut_tw,台南市安南區海佃路三段237號,unknown,台南安三店
安南區,pizza_hut_tw,台南市安南區安和路五段91號,unknown,台南安和店
安南區,pizza_hut_tw,台南市安南區海佃路一段356號,unknown,台南安南店
永康區,pizza_hut_tw,台南市永康區中山北路11號,unknown,台南永康店
永康區,pizza_hut_tw,台南市永康區大灣路846號,unknown,永康大灣店
永康區,pizza_hut_tw,台南市永康區中華路788號,unknown,永康中華店
永康區,pizza_hut_tw,台南市永康區中正南路829號,unknown,永康鹽行店
歸仁區,pizza_hut_tw,台南市歸仁區中山路二段41號,unknown,台南歸仁店
新化區,pizza_hut_tw,台南市新化區中正路545之1號,unknown,台南新化店
仁德區,pizza_hut_tw,台南市仁德區中正路二段1221號,unknown,台南仁德店
麻豆區,pizza_hut_tw,台南市麻豆區中山路128-2號,unknown,台南麻豆店
佳里區,pizza_hut_tw,台南市佳里區光復路192號,unknown,台南佳里店
新營區,pizza_hut_tw,台南市新營區延平路28號,unknown,台南新營店
善化區,pizza_hut_tw,台南市善化區中山路502號,unknown,台南善化店
新市區,pizza_hut_tw,台南市新市區中正路234-1號,unknown,台南南科店
安平區,pizza_hut_tw,台南市安平區永華路二段674號,unknown,台南安平店
