City,Place Name,Zipcode,Name
Serravalle Scrivia (AL),asics_eu,,unknown,"ASICS Factory Outlet   Alessandria, Serravalle"
Vicolungo (NO),asics_eu,,unknown,ASICS Factory Outlet Novara
Torino,audi,Corso Marche 72 10146 Torino,unknown,RINALDI
Paruzzaro,audi,Via Borgomanero 46/B 28040 Paruzzaro,unknown,AUDI ZENTRUM ARONA
Gaglianico,audi,Via Cavour 50 13894 Gaglianico,unknown,SELECAR
Cirie',audi,Via Torino 83 10073 Cirie',unknown,RINALDI
Novara,audi,Via E. Mattei 44 28100 Novara,unknown,SELECAR
Alessandria,audi,Via Enzo Ferrari 4 15121 Alessandria,unknown,AUDI ZENTRUM ALESSANDRIA
Grugliasco,audi,Corso Canonico Allamano 70 10095 Grugliasco,unknown,AUTO ZENTRUM TORINO
Omegna,audi,Via Tre Cascine 1/A 28887 Omegna,unknown,AUTOCALVI
Borgosesia,audi,Via C. Battisti 34 13011 Borgosesia,unknown,LUCIANO CATTANEO
Carmagnola,audi,Via Poirino 71 10022 Carmagnola,unknown,CAR ON LINE
Torino,audi,Via Reiss Romoli 136 10148 Torino,unknown,AUTO ZENTRUM TORINO
Asti,audi,Corso Alessandria 547/A 14100 Asti,unknown,AUDI ZENTRUM ASTI
Borgo Vercelli,audi,Via Vercelli 34/A 13012 Borgo Vercelli,unknown,AUDI ZENTRUM VERCELLI
Alba,audi,Corso Bra 21 12051 Alba,unknown,AUDI ZENTRUM ALBA
Borgo San Dalmazzo,audi,Via Attilio Fontana 12 12011 Borgo San Dalmazzo,unknown,AUDI ZENTRUM CUNEO
Torino,audi,Via Giordano Bruno 70 10134 Torino,unknown,AUTO ZENTRUM TORINO
Provincia di Alessandria,champion,C.C. PANORAMA CORSO GIUSEPPE ROMITA 15100 ,unknown,ALESSANDRIA
Provincia di Asti,champion,C.C. IL NUOVO BORGO CORSO CASALE 319 14057 ,unknown,ASTI
Provincia di Torino,champion,C.C. LE ALPI BENNET CORSO GENERALE DELLA CHIESA 10073 ,unknown,CIRIE'
Provincia di Novara,champion,C.C. SAN MARTINO 2 VIA UGO PORZIO GIOVANOLA 7 28100 ,unknown,NOVARA
Susa,fedex,,unknown,unknown
Spinetta Marengo,fedex,,unknown,FedEx Station
Settimo Torinese,fedex,,unknown,unknown
Scarmagno,fedex,,unknown,unknown
Savigliano,fedex,,unknown,unknown
Santhia,fedex,,unknown,unknown
Santena,fedex,,unknown,unknown
Saluzzo,fedex,,unknown,unknown
Rubiana,fedex,,unknown,unknown
Rivoli,fedex,,unknown,unknown
Rivarolo Canavese,fedex,,unknown,unknown
Racconigi,fedex,,unknown,unknown
Quarto Dasti,fedex,,unknown,FedEx Station
Poirino,fedex,,unknown,unknown
Piossasco,fedex,,unknown,unknown
Pinerolo,fedex,,unknown,unknown
Pianezza,fedex,,unknown,unknown
Ovada,fedex,,unknown,unknown
Oulx,fedex,,unknown,unknown
Orbassano,fedex,,unknown,FedEx Station
Omegna,fedex,,unknown,unknown
Oleggio,fedex,,unknown,unknown
Novara,fedex,,unknown,unknown
None,fedex,,unknown,unknown
Nole,fedex,,unknown,unknown
Nizza Monferrato,fedex,,unknown,unknown
Nichelino,fedex,,unknown,unknown
Mondovi,fedex,,unknown,unknown
Moncalieri,fedex,,unknown,unknown
Masserano,fedex,,unknown,unknown
Madonna Dellolmo,fedex,,unknown,FedEx Station
Luserna San Giovanni,fedex,,unknown,unknown
Leini,fedex,,unknown,unknown
Ivrea,fedex,,unknown,unknown
Intra,fedex,,unknown,unknown
Grignasco,fedex,,unknown,unknown
Giaveno,fedex,,unknown,unknown
Gattinara,fedex,,unknown,unknown
Galliate,fedex,,unknown,unknown
Fossano,fedex,,unknown,unknown
Domodossola,fedex,,unknown,unknown
Dogliani,fedex,,unknown,unknown
Cuorgne,fedex,,unknown,unknown
Cuneo,fedex,,unknown,unknown
Cossato,fedex,,unknown,unknown
Collegno,fedex,,unknown,unknown
Cirie,fedex,,unknown,unknown
Chivasso,fedex,,unknown,unknown
Chieri,fedex,,unknown,unknown
Ceva,fedex,,unknown,unknown
Castiglione Torinese,fedex,,unknown,unknown
Castellamonte,fedex,,unknown,unknown
Caselle Torinese,fedex,,unknown,unknown
Casale Monferrato,fedex,,unknown,unknown
Carru,fedex,,unknown,unknown
Carmagnola,fedex,,unknown,unknown
Carignano,fedex,,unknown,unknown
Canelli,fedex,,unknown,unknown
Cameri,fedex,,unknown,unknown
Caluso,fedex,,unknown,unknown
Bra,fedex,,unknown,unknown
Borgosesia,fedex,,unknown,unknown
Borgomanero,fedex,,unknown,unknown
Borgo San Dalmazzo,fedex,,unknown,unknown
Biella,fedex,,unknown,unknown
Barge,fedex,,unknown,unknown
Avigliana,fedex,,unknown,unknown
Asti,fedex,,unknown,unknown
Arona,fedex,,unknown,unknown
Alessandria,fedex,,unknown,unknown
Alba,fedex,,unknown,unknown
Acqui Terme,fedex,,unknown,unknown
Provincia Verbano-Cusio-Ossola,ich_tanke_strom,Grimselpasshöhe  0 Grimselpass,unknown,unknown
Provincia Verbano-Cusio-Ossola,ich_tanke_strom,-Posteggi fronte Albergo Walser  6685 Bosco-Gurin,unknown,unknown
Provincia Verbano-Cusio-Ossola,ich_tanke_strom,Posteggio scuole  6662 Russo,unknown,unknown
Provincia Verbano-Cusio-Ossola,ich_tanke_strom,Simplonstrasse  3907 Gondo,unknown,unknown
Cavaglià (BI),ionity,,unknown,Cavaglià
Provincia di Novara,pepco,,unknown,Pepco
Provincia di Alessandria,pepco,,unknown,Pepco
Provincia di Torino,pepco,,unknown,Pepco
Provincia di Vercelli,pepco,,unknown,Pepco
Provincia di Asti,pepco,,unknown,Pepco
Provincia di Biella,pepco,,unknown,Pepco
Provincia di Cuneo,pepco,,unknown,Pepco
Settimo   Torinese,starbucks_eu,Via Torino 160 10036 Settimo Torinese TO 10036 Settimo Torinese,unknown,Torino Outlet Village
Torino,starbucks_eu,Corso Vittorio Emanuele II 10128 Torino TO 101128 Torino,unknown,Stazione Porta Nuova
Turin,starbucks_eu,Via Bruno Buozzi 5 10121 Turin,unknown,Starbucks Torino
Serravalle,starbucks_eu,Via della Moda 15069 Serravalle,unknown,Outlet Serravalle
