Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72103731,moneygram,UNION BANK OF NIGERIA PLC - #263 - UDI -,,UDI,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72223954,moneygram,UNION BANK OF NIGERIA PLC - #271 - IKORO,,IKORODU,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72275300,moneygram,UNION BANK OF NIGERIA PLC - #544 - MISAU,,MISAU,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72311785,moneygram,UNION BANK OF NIGERIA PLC - #277 - BARIG,,BARIGA,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72311798,moneygram,UNION BANK OF NIGERIA PLC - #278 - KANO,,KANO,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72311808,moneygram,UNION BANK OF NIGERIA PLC - #279 - KURMI,,KURMI,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72311811,moneygram,UNION BANK OF NIGERIA PLC - #280 - EKWUL,,EKWULOBIA,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72395387,moneygram,UNION BANK OF NIGERIA PLC - #281 - FADEY,,FADEYI,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72395390,moneygram,UNION BANK OF NIGERIA PLC - #283 - AWKA,,AWKA,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72392694,moneygram,UNION BANK OF NIGERIA PLC - #545 - MUBI,,MUBI,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72396687,moneygram,UNION BANK OF NIGERIA PLC - #984 - OYO -,,OYO,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72306554,moneygram,UNION BANK OF NIGERIA PLC - #268 - KASHE,,KASHERE,,,NG,+234 1 271 6800,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
44503990,moneygram,UNION BANK OF NIGERIA - #184 - 9TH MILE,,NGWO UNO,,,NG,+234 42 250 292,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
65751462,moneygram,FBN - 9TH MILE CORNER,,NGWO UNO,,,NG,+234 1 905 2667,,Mo-Fr 08:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
