Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74616857,moneygram,MASRED - CAREPA - JOYERIA OROEXPRESS FAM,,CAREPA,,,CO,+57 604 8158912,,Mo-Sa 08:30-18:30; Su 09:00-13:00,MoneyGram,Q1944412
74918526,moneygram,GANA - CAREPA - PAPAGALLO,,CAREPA,,,CO,4444441,,Mo-Sa 13:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74924183,moneygram,GANA - CAREPA - PLAYON,,CAREPA,,,CO,4444441,,Mo-Sa 13:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74918649,moneygram,GANA - CAREPA - COSITAS RICAS,,CAREPA,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74924358,moneygram,GANA - CAREPA - QUE RKO POLLO,,CAREPA,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74924170,moneygram,GANA - CAREPA - MISCELANEA,,CAREPA,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74923728,moneygram,GANA - CAREPA - POLICIA,,CAREPA,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 10:00-18:00,MoneyGram,Q1944412
74923731,moneygram,GANA - CAREPA - PONDEROSA,,CAREPA,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
74918678,moneygram,GANA - CAREPA - NUEVO OBRERO,,CAREPA,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
74923582,moneygram,GANA - CAREPA - CAREPA,,CAREPA,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 10:00-18:00,MoneyGram,Q1944412
74918351,moneygram,GANA - CAREPA - ZUNGO 2,,CAREPA,,,CO,4444441,,Mo-Sa 10:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74923281,moneygram,GANA - CAREPA - GAITAN,,CAREPA,,,CO,4444441,,Mo-Sa 12:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
