Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68637208,moneygram,BOC - #17018 - NXYC EAST BAO HU RD SUBBR,,YINCHUAN,,,CN,+86 951 893 3718,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820473,moneygram,BOC - #16925 - NXYC NANXUN WEST ROAD SUB,,YINCHUAN,,,CN,+86 951 503 4494,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820363,moneygram,BOC - #17004 - NXYC JIEFANGJIE  SUB-BRAN,,YINCHUAN,,,CN,+86 951 501 2235,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820431,moneygram,BOC - #16905 - NXYC MINZU NORTH STREET S,,YINCHUAN,,,CN,+86 951 601 3151,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820486,moneygram,BOC - #16929 - NXYC ECONOMIC AND TECHNIC,,YINCHUAN,,,CN,+86 951 507 7853,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820774,moneygram,BOC - #16972 - NXYC XINHUA SUB-BRANCH,,YINCHUAN,,,CN,+86 951 602 7877,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820787,moneygram,BOC - #16904 - NXYC SHENGLI STREET SUB-B,,YINCHUAN,,,CN,+86 951 407 7132,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820855,moneygram,BOC - #16928 - NXYC ZHENGYUAN SOUTH STRE,,YINCHUAN,,,CN,+86 951 608 7356,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820790,moneygram,BOC - #16913 - NXYC XINCHANG WEST ROAD S,,YINCHUAN,,,CN,+86 951 567 2596,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820813,moneygram,BOC - #16978 - NXYC XICHENG SUB-BRANCH,,YINCHUAN,,,CN,+86 951 504 1487,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820842,moneygram,BOC - #16927 - NXYC FENGHUANG NORTH STRE,,YINCHUAN,,,CN,+86 951 507 8990,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820839,moneygram,BOC - #16926 - NXYC HUBIN SUB-BRANCH,,YINCHUAN,,,CN,+86 951 673 1239,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66820460,moneygram,BOC - #16923 - NXYC TANGLAI SUB-BRANCH,,YINCHUAN,,,CN,+86 951 504 5244,,Mo-Fr 08:30-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71754631,moneygram,BOC - XINGQING SUB-BRANCH,,YINCHUAN,,,CN,+86 951 601 3030,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
