Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
255,goodlife_pharmacy_ke,Murang'a Rubis,,Muranga,Muranga,,KE,+254 714 706557,,Mo-Sa 08:00-20:00; Su 07:00-19:00,Goodlife Pharmacy,Q120783615
18fe278d6d25c85c64116f48ea24b425,western_union,TAI SACCO SOCIETY LTD,,Kigumo,MURANGA,,KE,+254 788 221714,https://location.westernunion.com/ke/muranga/kigumo/18fe278d6d25c85c64116f48ea24b425,Mo-Fr 08:30-16:00; Sa 08:30-12:00,Western Union,Q861042
ba7e75daf805f231b41bae2cfd1dd130,western_union,EQUITY BANK KANGARI,,Kangari,MURANGA,,KE,+254 763 068007,https://location.westernunion.com/ke/muranga/kangari/ba7e75daf805f231b41bae2cfd1dd130,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
8ceb08bcd639dd848914407c39c32080,western_union,KCB KANGARI,,Kangari,MURANGA,,KE,(+254) 60-4405,https://location.westernunion.com/ke/muranga/kangari/8ceb08bcd639dd848914407c39c32080,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
cad1894cad8f537f922f9db2b20451da,western_union,KCB KANGEMA,,Kangema,MURANGA,,KE,+254 66 322007,https://location.westernunion.com/ke/muranga/kangema/cad1894cad8f537f922f9db2b20451da,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
8596b29c3fcbfa0921fa19479976690c,western_union,EQUITY BANK KANGEMA,,Kangema,MURANGA,,KE,+254 763 068003,https://location.westernunion.com/ke/muranga/kangema/8596b29c3fcbfa0921fa19479976690c,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
35611a1d9ea2912c75e4ceb7a0052e8a,western_union,EQUITY BANK MURARANDIA,,Murarandia,MURANGA,,KE,+254 763 068006,https://location.westernunion.com/ke/muranga/murarandia/35611a1d9ea2912c75e4ceb7a0052e8a,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
11627d2ca6ca1d2427f36011a17922cd,western_union,EQUITY BANK KENOL,,Kenol,MURANGA,,KE,+254 763 068089,https://location.westernunion.com/ke/muranga/kenol/11627d2ca6ca1d2427f36011a17922cd,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
ca2ff9beb2fd10e668e0ba5eaff7ad6d,western_union,CONSOLIDATED BANK MURANGA,,Muranga,MURANGA,,KE,(+254) 20-30461,https://location.westernunion.com/ke/muranga/muranga/ca2ff9beb2fd10e668e0ba5eaff7ad6d,Mo-Fr 08:30-16:00; Sa 08:30-13:00,Western Union,Q861042
f13de57aea784a259e149873c880a408,western_union,KCB MAKUYU KENOL BRANCH,,Makuyu,MURANGA,,KE,+254 60 42453,https://location.westernunion.com/ke/muranga/makuyu/f13de57aea784a259e149873c880a408,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
46220fb4a7f6bfd552bc4a4a7467d24b,western_union,KCB MURANGA,,Muranga,MURANGA,,KE,+254 60 30191,https://location.westernunion.com/ke/muranga/muranga/46220fb4a7f6bfd552bc4a4a7467d24b,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
