Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
69184815,moneygram,CBE - Wotet  Abay,,WOTET  ABAY,,,ET,582340028,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69184828,moneygram,CBE - Gozamin,,DEBRE MARK'OS,,,ET,+251 58 771 7008,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69185160,moneygram,CBE - Belay Zeleke,,BAHIR DAR,,,ET,+251 58 220 0735,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69185296,moneygram,CBE - Shewa Ber,,DEBRE MARK'OS,,,ET,+251 58 778 0092,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69405879,moneygram,CBE - B/NILE,,BAHIR DAR,,,ET,2209531,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70253379,moneygram,CBE - BAHIR DAR - ABAY MADO BRANCH,,BAHIR DAR,,,ET,582180937,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70253382,moneygram,CBE - BAHIR DAR - DENGEL BRANCH,,BAHIR DAR,,,ET,582222197,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70253340,moneygram,CBE - FINEOTE SELAM - DAMOT BRANCH,,FINEOTE SELAM,,,ET,+251 58 775 1837,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
65475683,moneygram,CBE - #26 - BAHER DAR,,BAHIR DAR,,,ET,2200338,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
67085534,moneygram,CBE - JAWI,,FENDIKA,,,ET,582311059,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71765549,moneygram,COMMERCIAL BANK OF ETHIOPIA - BAHIR DAR,,BAHIR DAR,,,ET,342266461,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
