Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
59920,man_truck_and_bus,PT DUTA PUTERA SUMATERA - Surabaya,,Surabaya,,,ID,+62 31 7493247,,,MAN Truck & Bus,Q708667
68919405,moneygram,ARTHAPOS - #JKP - JAKARTA PUSAT - KPRK L,,JAKARTA PUSAT,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71686262,moneygram,BTN - JAKARTA PUSAT - KEMAYORAN,,JAKARTA PUSAT,,,ID,+62 21 3518624,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686301,moneygram,BTN - JAKARTA UTARA - PANTAI INDAH KAPUK,,JAKARTA UTARA,,,ID,+62 21 6336789,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686369,moneygram,BTN - JAKARTA PUSAT - BENDUNGAN HILIR,,JAKARTA PUSAT,,,ID,+62 21 31923053,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686372,moneygram,BTN - JAKARTA PUSAT - PERCETAKAN NEGARA,,JAKARTA PUSAT,,,ID,+62 21 3900114,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686385,moneygram,BTN - JAKARTA PUSAT - GLODOK JAYA EKS. S,,JAKARTA PUSAT,,,ID,+62 21 34832066,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686408,moneygram,BTN - JAKARTA PUSAT - CEMPAKA PUTIH PERM,,JAKARTA PUSAT,,,ID,+62 21 29032530,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686440,moneygram,BTN - JAKARTA PUSAT - BIAK,,JAKARTA PUSAT,,,ID,+62 21 3449835,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686453,moneygram,BTN - JAKARTA PUSAT - WAHID HASYIM,,JAKARTA PUSAT,,,ID,+62 21 91274176,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71693381,moneygram,BTN - JAKARTA PUSAT - PERTAMINA,,JAKARTA PUSAT,,,ID,+62 21 5961222,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684073,moneygram,BTN - JAKARTA SELATAN - PN JAKARTA PUSAT,,JAKARTA SELATAN,,,ID,+62 21 7994249,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692175,moneygram,BTN - JAKARTA PUSAT - JAKARTA MENARA BTN,,JAKARTA PUSAT,,,ID,+62 21 4660017,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686343,moneygram,BTN - JAKARTA PUSAT - PASAR TANAH ABANG,,JAKARTA PUSAT,,,ID,+62 21 63858460,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
