Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://local.fedex.com/#17607112,fedex,Centro de Envío FedEx,,Villarica,Araucania,,CL,,https://local.fedex.com/es-cl/villarica/zcod,,FedEx,Q459477
https://local.fedex.com/#17607111,fedex,Centro de Envío FedEx,,Temuco,Araucania,,CL,,https://local.fedex.com/es-cl/temuco/zcoc,,FedEx,Q459477
https://local.fedex.com/#17607110,fedex,Centro de Envío FedEx,,Angol,Araucania,,CL,,https://local.fedex.com/es-cl/angol/lsqd,,FedEx,Q459477
c8b37c5d3ddca90b3290138a75b74311,western_union,SANTA ISABEL VICTORIA,,Victoria,ARAUCANIA,,CL,(+56) 2746545,https://location.westernunion.com/cl/araucania/victoria/c8b37c5d3ddca90b3290138a75b74311,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
874645c6b0ef7e465666ddaa2bc41906,western_union,JUMBO TEMUCO LOS PABLOS,,Temuco Los Pablos,ARAUCANIA,,CL,(+56) 2746500,https://location.westernunion.com/cl/araucania/temuco-los-pablos/874645c6b0ef7e465666ddaa2bc41906,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
fd83ee8718c7d43116368c47d556ccd5,western_union,SANTA ISABEL TEMUCO,,Temuco,ARAUCANIA,,CL,(+56) 2380532,https://location.westernunion.com/cl/araucania/temuco/fd83ee8718c7d43116368c47d556ccd5,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
223aa79158571d6e07fb20178f3310ae,western_union,SANTA ISABEL LABRANZA,,Labranza,ARAUCANIA,,CL,(+56) 2746540,https://location.westernunion.com/cl/araucania/labranza/223aa79158571d6e07fb20178f3310ae,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
7e02f711aaebb4d6b0ddfc060d398674,western_union,SANTA ISABEL TEMUCO,,Temuco,ARAUCANIA,,CL,(+56) 2336680,https://location.westernunion.com/cl/araucania/temuco/7e02f711aaebb4d6b0ddfc060d398674,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
d7918b446186d6a2b3e8bc4f6b04996b,western_union,SANTA ISABEL TEMUCO,,Temuco,ARAUCANIA,,CL,(+56) 2211310,https://location.westernunion.com/cl/araucania/temuco/d7918b446186d6a2b3e8bc4f6b04996b,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
514c7b12287e66f471847b38f3033065,western_union,SANTA ISABEL TEMUCO,,Temuco,ARAUCANIA,,CL,(+56) 2211810,https://location.westernunion.com/cl/araucania/temuco/514c7b12287e66f471847b38f3033065,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
284c9a50070b557c613eff6578d4a92f,western_union,SANTA ISABEL TEMUCO,,Temuco,ARAUCANIA,,CL,(+56) 2216170,https://location.westernunion.com/cl/araucania/temuco/284c9a50070b557c613eff6578d4a92f,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
3ce57511158a87c673b193bb30fb62b9,western_union,SANTA ISABEL TEMUCO,,Temuco,ARAUCANIA,,CL,(+56) 2746599,https://location.westernunion.com/cl/araucania/temuco/3ce57511158a87c673b193bb30fb62b9,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
7548f878d4b52e56d37d5b37f40df70e,western_union,SANTA ISABEL TEMUCO,,Temuco,ARAUCANIA,,CL,(+56) 2211675,https://location.westernunion.com/cl/araucania/temuco/7548f878d4b52e56d37d5b37f40df70e,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
314a2cfabe7811164286c7f227eb2310,western_union,SANTA ISABEL TEMUCO,,Temuco,ARAUCANIA,,CL,(+56) 2746594,https://location.westernunion.com/cl/araucania/temuco/314a2cfabe7811164286c7f227eb2310,Mo-Sa 08:00-21:00; Su 09:00-21:00,Western Union,Q861042
