Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66840411,moneygram,BOC - #16304 - SAXHZ YEDAOGUANGCHANG SUB,,HANZHONG,,,CN,+86 916 816 0081,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840424,moneygram,BOC - #16298 - SAXHZ DONGDAJIE SUB-BR,,HANZHONG,,,CN,+86 916 811 3251,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840437,moneygram,BOC - #16301 - SAXHZ LIANHUXILU SUB-BR,,HANZHONG,,,CN,+86 916 811 0262,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841944,moneygram,BOC - #16296 - SAXHZ RENMINLU SUB-BR,,HANZHONG,,,CN,+86 916 810 3809,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841957,moneygram,BOC - #16299 - SAXHZ XIGUAN SUB-BR,,HANZHONG,,,CN,+86 916 816 6306,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841960,moneygram,BOC - #16309 - SAXHZ ZHENGXIANCHENGGUAN,,HANZHONG,,,CN,+86 916 551 3888,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841973,moneygram,BOC - #16442 - SAXHZ HANZHONG BRANCH OPE,,HANZHONG,,,CN,+86 916 810 1119,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841986,moneygram,BOC - #16302 - SAXHZ YOUAILU SUB-BR,,HANZHONG,,,CN,+86 916 816 7310,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841999,moneygram,BOC - #16306 - SAXHZ LIANHULU SUB-BR,,HANZHONG,,,CN,+86 916 811 0382,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842008,moneygram,BOC - #16310 - SAXHZ DAHEKAN SUB-BR,,HANZHONG,,,CN,+86 916 862 3005,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842024,moneygram,BOC - #16305 - SAXHZ TIANTAILU SUB-BR,,HANZHONG,,,CN,+86 916 811 0228,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842040,moneygram,BOC - #16312 - SAXHZ CHENGGU XINSHIJIGUA,,HANZHONG,,,CN,+86 916 860 1028,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840877,moneygram,BOC - #16313 - SAXHZ CHENGGU WENHUADONGL,,HANZHONG,,,CN,+86 916 860 7599,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
71754741,moneygram,BOC - #37833 - HANZHONG - HANZHONG BRANC,,HANZHONG,,,CN,+86 916 251 6048,,Mo-Fr 09:00-17:30; Sa-Su 09:00-16:30,MoneyGram,Q1944412
