City,Place Name,Zipcode,Name
Wuppertal,footlocker,,unknown,"Foot Locker in Wuppertal: Wuppertal, Mecklenburg-Vorpommern | Approved | Own It"
Recklinghausen,footlocker,,unknown,"Foot Locker in Recklinghausen: Recklinghausen, Mecklenburg-Vorpommern | Approved | Own It"
Osnabruck,footlocker,,unknown,"Foot Locker in Osnabruck: Osnabruck, Mecklenburg-Vorpommern | Approved | Own It"
Oldenburg,footlocker,,unknown,"Foot Locker in Oldenburg: Oldenburg, Mecklenburg-Vorpommern | Approved | Own It"
Oberhausen,footlocker,,unknown,"Foot Locker in Oberhausen: Oberhausen, Mecklenburg-Vorpommern | Approved | Own It"
Neuss,footlocker,,unknown,"Foot Locker in Neuss: Neuss, Mecklenburg-Vorpommern | Approved | Own It"
Monchengladbach,footlocker,,unknown,"Foot Locker in Monchengladbach: Monchengladbach, Mecklenburg-Vorpommern | Approved | Own It"
Koeln,footlocker,,unknown,"Foot Locker in Koeln: Koeln, Mecklenburg-Vorpommern | Approved | Own It"
HILDESHEIM,footlocker,,unknown,"Foot Locker in : HILDESHEIM, Mecklenburg-Vorpommern | Approved | Own It"
Hannover,footlocker,,unknown,"Foot Locker in Hannover: Hannover, Mecklenburg-Vorpommern | Approved | Own It"
Dusseldorf,footlocker,,unknown,"Foot Locker in Dusseldorf: Dusseldorf, Mecklenburg-Vorpommern | Approved | Own It"
Hamm,footlocker,,unknown,"Foot Locker in Hamm: Hamm, Mecklenburg-Vorpommern | Approved | Own It"
Duisburg,footlocker,,unknown,"Foot Locker in Duisburg: Duisburg, Mecklenburg-Vorpommern | Approved | Own It"
Essen,footlocker,,unknown,"Foot Locker in Essen: Essen, Mecklenburg-Vorpommern | Approved | Own It"
Dortmund,footlocker,,unknown,"Foot Locker in Dortmund: Dortmund, Mecklenburg-Vorpommern | Approved | Own It"
Düsseldorf,footlocker,,unknown,"Foot Locker in Düsseldorf: Düsseldorf, Mecklenburg-Vorpommern | Approved | Own It"
Cologne,footlocker,,unknown,"Foot Locker in Cologne: Cologne, Mecklenburg-Vorpommern | Approved | Own It"
Braunschweig,footlocker,,unknown,"Foot Locker in Braunschweig: Braunschweig, Mecklenburg-Vorpommern | Approved | Own It"
Bonn,footlocker,,unknown,"Foot Locker in Bonn: Bonn, Mecklenburg-Vorpommern | Approved | Own It"
Bochum,footlocker,,unknown,"Foot Locker in Bochum: Bochum, Mecklenburg-Vorpommern | Approved | Own It"
Bielefeld,footlocker,,unknown,"Foot Locker in Bielefeld: Bielefeld, Mecklenburg-Vorpommern | Approved | Own It"
BAD OEYNHAUSEN,footlocker,,unknown,"Foot Locker in : BAD OEYNHAUSEN, Mecklenburg-Vorpommern | Approved | Own It"
Aachen,footlocker,,unknown,"Foot Locker in Aachen: Aachen, Mecklenburg-Vorpommern | Approved | Own It"
