Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68643580,moneygram,BOC - #07081 - JSNT BEIDAJIE SUBBRANCH,,NANTONG,,,CN,+86 513 8540 8015,,Mo-Sa 08:30-17:00; Su 00:00-24:00,MoneyGram,Q1944412
68643593,moneygram,BOC - #06909 - JSNT HONGMING SUBBRANCH,,NANTONG,,,CN,+86 513 8560 0519,,Mo-Sa 08:30-16:50; Su 00:00-24:00,MoneyGram,Q1944412
65851456,moneygram,BOC - #06864 - JSNT BAXIANCHENG SUB-BRAN,,NANTONG,,,CN,+86 513 8553 7234,,Mo-Fr 08:00-17:20; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65851485,moneygram,BOC - #06866 - JSNT HAODONG SUB-BRANCH,,NANTONG,,,CN,+86 513 8553 7431,,Mo-Sa 08:00-16:50; Su 00:00-24:00,MoneyGram,Q1944412
65851511,moneygram,BOC - #06867 - JSNT NANYUAN SUB-BRANCH,,NANTONG,,,CN,+86 513 8550 7075,,Mo-Sa 08:00-16:50; Su 00:00-24:00,MoneyGram,Q1944412
65851540,moneygram,BOC - #06868 - JSNT FUGUIYUAN SUB-BRANCH,,NANTONG,,,CN,+86 513 8558 5805,,Mo-Sa 08:00-17:15; Su 00:00-24:00,MoneyGram,Q1944412
65851566,moneygram,BOC - #06870 - JSNT HAOBEI SUB-BRANCH,,NANTONG,,,CN,+86 513 8529 6231,,Mo-Sa 08:15-16:50; Su 00:00-24:00,MoneyGram,Q1944412
65851595,moneygram,BOC - #06871 - JSNT NANDAJIE SUB-BRANCH,,NANTONG,,,CN,+86 513 8559 9875,,Mo-Sa 08:50-17:30; Su 00:00-24:00,MoneyGram,Q1944412
65851618,moneygram,BOC - #06885 - JSNT LONGWANGQIAO SUB-BRA,,NANTONG,,,CN,+86 513 8356 7376,,Mo-Sa 08:10-16:50; Su 00:00-24:00,MoneyGram,Q1944412
65851634,moneygram,BOC - #06893 - JSNT RENDONG SUB-BRANCH,,NANTONG,,,CN,+86 513 8357 3365,,Mo-Sa 08:15-16:45; Su 00:00-24:00,MoneyGram,Q1944412
65851650,moneygram,BOC - #07261 - JSNT BANKING DEP. GANGZHA,,NANTONG,,,CN,+86 513 8555 4850,,Mo-Sa 08:30-17:00; Su 00:00-24:00,MoneyGram,Q1944412
65847169,moneygram,BOC - #07258 - JSNT BANKING DEP. NANTONG,,NANTONG,,,CN,+86 513 8351 6888,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65847172,moneygram,BOC - #06620 - JSNT WEALTH MANAGEMENT CE,,NANTONG,,,CN,+86 513 8112 1609,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65847198,moneygram,BOC - #07260 - JSNT DEP. CHONGCHUAN BRAN,,NANTONG,,,CN,+86 513 8552 7397,,Mo-Sa 08:00-17:15; Su 00:00-24:00,MoneyGram,Q1944412
65847211,moneygram,BOC - #06861 - JSNT RENZHONG SUB-BRANCH,,NANTONG,,,CN,+86 513 8510 3676,,Mo-Sa 08:00-16:50; Su 00:00-24:00,MoneyGram,Q1944412
65847240,moneygram,BOC - #06862 - JSNT CHANGQIAO SUB-BRANCH,,NANTONG,,,CN,+86 513 8550 7749,,Mo-Sa 08:00-17:20; Su 00:00-24:00,MoneyGram,Q1944412
65847266,moneygram,BOC - #06863 - JSNT BEIHAOQIAO SUB-BRANC,,NANTONG,,,CN,+86 513 8518 5160,,Mo-Sa 08:00-16:50; Su 00:00-24:00,MoneyGram,Q1944412
65848553,moneygram,BOC - #06865 - JSNT HAOXIROAD SUB-BRANCH,,NANTONG,,,CN,+86 513 8509 0484,,Mo-Sa 08:10-16:50; Su 00:00-24:00,MoneyGram,Q1944412
65848634,moneygram,BOC - #06877 - JSNT CHENJIAYUAN SUB-BRAN,,NANTONG,,,CN,+86 513 8510 0805,,Mo-Sa 08:20-17:00; Su 00:00-24:00,MoneyGram,Q1944412
65849154,moneygram,BOC - #06891 - JSNT HONGQIAOXICUN SUB-BR,,NANTONG,,,CN,+86 513 8352 7501,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65849235,moneygram,BOC - #06874 - JSNT QINZAO SUB-BRANCH,,NANTONG,,,CN,+86 513 8566 3244,,Mo-Sa 08:00-16:40; Su 00:00-24:00,MoneyGram,Q1944412
