Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71981909,moneygram,BOC - #55695 - HAIKOU - HAIKOU BAILONG S,,HAIKOU,,,CN,+86 898 6656 2715,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71981815,moneygram,BOC - #55717 - HAIKOU - HAIKOU MEISHEHE,,HAIKOU,,,CN,+86 898 6656 2789,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71981831,moneygram,BOC - #55737 - HAIKOU - HAIKOU HAIFU SUB,,HAIKOU,,,CN,+86 898 6656 2759,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71981828,moneygram,BOC - #55743 - HAIKOU - HAIKOU DONGHU SU,,HAIKOU,,,CN,+86 898 6656 2780,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71982076,moneygram,BOC - #55752 - HAIKOU - HAIKOU LANTIANLU,,HAIKOU,,,CN,+86 898 6656 2797,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71982089,moneygram,BOC - #55759 - HAIKOU - HAIKOU WENMINGDO,,HAIKOU,,,CN,+86 898 6656 2725,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819196,moneygram,BOC - #14708 - HNHK HAIFU SUB-BR,,HAIKOU,,,CN,+86 898 6656 2759,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819222,moneygram,BOC - #14715 - HNHK XINGANG SUB-BR,,HAIKOU,,,CN,+86 898 6656 2698,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819303,moneygram,BOC - #14863 - HNHK XIUHUALU SUB-BR,,HAIKOU,,,CN,+86 898 6656 3053,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819552,moneygram,BOC - #14707 - HNHK DONGHU SUB-BR,,HAIKOU,,,CN,+86 898 6656 2780,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819565,moneygram,BOC - #14709 - HNHK LANTIANXILU SUB-BR,,HAIKOU,,,CN,+86 898 6656 2808,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66819879,moneygram,BOC - #14862 - HNHK WENMINGDONG SUB-BR,,HAIKOU,,,CN,+86 898 6656 2725,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
