Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74686311,moneygram,COMMERCIAL BANK OF ETHIOPIA - JARAGEDO,,BAHIRDAR,,,ET,585897946,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74686272,moneygram,COMMERCIAL BANK OF ETHIOPIA - HAJI BESHE,,GONDER,,,ET,582587945,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74711325,moneygram,COMMERCIAL BANK OF ETHIOPIA - ATSE T/GIO,,DEBRE BIRHAN,,,ET,+251 11 258 7945,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74711396,moneygram,COMMERCIAL BANK OF ETHIOPIA - ROMEDAN,,BAHER DAR,,,ET,585789987,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74711367,moneygram,COMMERCIAL BANK OF ETHIOPIA - GURGURTO,,BONGA,,,ET,465897946,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74711383,moneygram,COMMERCIAL BANK OF ETHIOPIA - SHARIA,,ASSENDABO,,,ET,445478957,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74753600,moneygram,COMMERCIAL BANK OF ETHIOPIA - UDEE DENKA,,DEBRE ZETIT,,,ET,+251 11 258 7945,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74753671,moneygram,COMMERCIAL BANK OF ETHIOPIA - ZUBEYR,,BAHIRDAR,,,ET,465789987,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74753642,moneygram,COMMERCIAL BANK OF ETHIOPIA - ALSHAMIL,,BAHIRDAR,,,ET,465328479,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74753668,moneygram,COMMERCIAL BANK OF ETHIOPIA - TULU LEMI,,BAHIRDAR,,,ET,445478957,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74807271,moneygram,COMMERCIAL BANK OF ETHIOPIA - ABABASHEH,,DESSIE,,,ET,332354789,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74807381,moneygram,COMMERCIAL BANK OF ETHIOPIA - QUBA,,ADDIS ABABA,,,ET,115328479,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74807417,moneygram,COMMERCIAL BANK OF ETHIOPIA - PINYUDO BR,,GAMBELLA,,,ET,465789987,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74807349,moneygram,COMMERCIAL BANK OF ETHIOPIA - SARIS ABO,,ADDIS ABABA,,,ET,+251 11 258 7945,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74807404,moneygram,COMMERCIAL BANK OF ETHIOPIA - BONBAS BRA,,JIJIGA,,,ET,255478957,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74913385,moneygram,COMMERCIAL BANK OF ETHIOPIA - ERTA ALE B,,SEMERA,,,ET,445478957,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74913327,moneygram,COMMERCIAL BANK OF ETHIOPIA - ABUNE TEWO,,DEBRE MARK'OS,,,ET,+251 11 258 7945,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74913369,moneygram,COMMERCIAL BANK OF ETHIOPIA - AFDERA,,SEMERA,,,ET,465328479,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74913398,moneygram,COMMERCIAL BANK OF ETHIOPIA - HALALE,,METTU,,,ET,465789987,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74970412,moneygram,BERHAN INTERNATIONAL BANK S.C. - #3 - AD,,ADDIS ABABA,,,ET,+251 11 660 6289,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
75064217,moneygram,BERHAN INTERNATIONAL BANK S.C. - #3 - AD,,ADDIS ABABA,,,ET,+251 11 660 6289,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
