Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.footlocker.cz/en/cz-jc/brno/,footlocker,"Foot Locker Locations in Brno, Jihočeský kraj | Approved",,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-jc/brno/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-622/brno/,footlocker,"Foot Locker Locations in Brno, Brno-město | Approved",,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-622/brno/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-204/hradeckralove/,footlocker,"Foot Locker Locations in Hradec Kralove, Kolín | Approved",,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-204/hradeckralove/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-jc/,footlocker,Foot Locker Locations in Jihočeský kraj | Approved,,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-jc/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-611/praha/,footlocker,"Foot Locker Locations in Praha, Havlíčkův Brod | Approved",,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-611/praha/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-622/,footlocker,Foot Locker Locations in Brno-město | Approved,,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-622/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-611/,footlocker,Foot Locker Locations in Havlíčkův Brod | Approved,,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-611/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-611/prague/,footlocker,"Foot Locker Locations in Prague, Havlíčkův Brod | Approved",,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-611/prague/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-207/,footlocker,Foot Locker Locations in Mladá Boleslav | Approved,,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-207/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-204/,footlocker,Foot Locker Locations in Kolín | Approved,,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-204/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/cz-207/ostrava/,footlocker,"Foot Locker Locations in Ostrava, Mladá Boleslav | Approved",,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/cz-207/ostrava/,,Foot Locker,Q63335
https://stores.footlocker.cz/en/,footlocker,Find the nearest Foot Locker location near you | It's Your Time,,New York,NY,,CZ,(800) 863-8932,https://stores.footlocker.cz/en/,,Foot Locker,Q63335
