City,Place Name,Zipcode,Name
unknown,aldi_sud_ie,,unknown,"ALDI Abbey Place, Caherciveen"
unknown,allied_irish_banks_ie,,unknown,AIB Bank - Cahirciveen
Kerry,avis,,unknown,Avis Ireland (Republic) Kerry Airport
unknown,inver,Inver Castlegregory Aughacasla Castlegregory Tralee Co. Kerry Ireland,unknown,Inver Castlegregory
unknown,inver,Killarney Road Castleisland,unknown,Inver Castleisland
unknown,inver,Milltown Dingle Kerry V92C9KT,unknown,Inver Dingle
unknown,inver,Listowel Co. Kerry,unknown,Inver Ryans
unknown,inver,Caherciveen Co. Kerry,unknown,Inver Fitzpatricks Market House
unknown,inver,Barraduff Killarney Co. Kerry,unknown,Inver O&#8217;Donoghues
unknown,inver,Tralee Co. Kerry,unknown,Inver Foleys Tralee
unknown,inver,Kilorglin Co. Kerry,unknown,Inver Foleys Killorglin
unknown,inver,Fossa Co. Kerry,unknown,Inver Foleys Killarney
Kenmare,lidl_ie,,unknown,Kenmare
Tralee,lidl_ie,,unknown,Tralee
Listowel,lidl_ie,,unknown,Listowel
Dingle,lidl_ie,,unknown,Dingle
Killarney,lidl_ie,,unknown,Killarney
Castleisland,lidl_ie,,unknown,Castleisland
Kerry,maxol_ie,,unknown,Walsh's Maxol Service Station
KERRY,mr_price_ie,Units 7 & 8 The Mile Height Tralee V92 HPA8 Co. Kerry,unknown,MrPRICE Tralee
Kerry,mr_price_ie,Mr. Price New Street Caherciveen V23 H952 Co. Kerry,unknown,MrPRICE Caherciveen
Killarney,subway,,unknown,Subway Top Oil Gas Station/C-Store
Listowel,subway,,unknown,Subway Spar C-Store
Tralee Co. Kerry,subway,,unknown,Subway Tralee Food Court
KENMARE,visa,,unknown,unknown
KILLARNEY,visa,,unknown,unknown
KILLORGLIN,visa,,unknown,unknown
CASTLEISLAND,visa,,unknown,unknown
DINGLE,visa,,unknown,unknown
TRALEE,visa,,unknown,unknown
LISTOWEL,visa,,unknown,unknown
