Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68809612,moneygram,ETS AFIMESS GBADAGO - #4 - LOME,,LOME,,,TG,+228 22 38 63 66,,Mo-Th 07:00-19:00; Fr 07:00-18:00; Sa-Su 07:00-19:00,MoneyGram,Q1944412
68809447,moneygram,WAGES LOME ADIDOGOME - #4 - LOME,,LOME,,,TG,+228 22 51 94 51,,Mo-Fr 07:00-18:00; Sa 07:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
68809450,moneygram,WAGES LOME AGOE - #4 - LOME,,LOME,,,TG,+228 22 51 54 73,,Mo-Fr 07:00-18:00; Sa 07:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
68809544,moneygram,WAGES LOME AKODESEWA - #4 - LOME,,LOME,,,TG,+228 22 38 63 67,,Mo-Fr 07:00-18:00; Sa 07:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
68809463,moneygram,WAGES LOME AVEDJI - #4 - LOME,,LOME,,,TG,+228 22 38 63 64,,Mo-Fr 07:00-18:00; Sa 07:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
68809557,moneygram,WAGES LOME BAGUIDA - #4 - LOME,,LOME,,,TG,+228 22 38 63 65,,Mo-Fr 07:00-18:00; Sa 07:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
68807643,moneygram,WAGES LOME SIEGE - #6 - LOME,,LOME,,,TG,+228 22 22 54 71,,Mo-Fr 07:00-18:00; Sa 07:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
68809515,moneygram,WAGES SIEGE 2 - #4 - PSEC TCHAOUDJO,,PSEC TCHAOUDJO,,,TG,+228 22 22 54 71,,Mo-Fr 07:00-18:00; Sa 07:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
69632309,moneygram,COOPEC AD - #2 - LOME - AGENCE ADIDOGOME,,LOME,,,TG,+228 99 34 16 09,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69007507,moneygram,COOPEC AD - LOME - AGENCE KODJOVIAKOPE,,LOME,,,TG,+228 99 34 16 06,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69632299,moneygram,COOPEC AD - #2 - LOME - AGENCE RAMCO,,LOME,,,TG,+228 99 34 16 06,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69007565,moneygram,COOPEC AD - LOME - AGENCE AGBALEPEDO,,LOME,,,TG,+228 99 34 16 11,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69007536,moneygram,COOPEC AD - LOME - AGENCE AGOE NYIVE,,LOME,,,TG,+228 99 34 16 12,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69007633,moneygram,COOPEC AD - LOME - AGENCE ASSIVITO,,LOME,,,TG,+228 99 34 16 08,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69007523,moneygram,COOPEC AD - LOME - AGENCE AVEPOZO,,LOME,,,TG,+228 99 34 16 10,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69007510,moneygram,COOPEC AD - LOME - AGENCE BE ANFAME,,LOME,,,TG,+228 99 34 16 09,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69007581,moneygram,COOPEC AD - LOME - AGENCE GBENYEDZI,,LOME,,,TG,+228 99 34 16 07,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
69007675,moneygram,COOPEC AD LOME-II - LOME - COOPEC AD-AGE,,LOME,,,TG,+228 99 34 16 08,,Mo-Fr 07:30-16:30; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
