Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
FordIJ24635  ITA,ford,TAGLIENTI ARCANGELO,,STRANGOLAGALLI,,,IT,+39 0775 978469,,,Ford,Q44294
71948146,moneygram,POSTE ITALIANE,,FALVATERRA,,,IT,77590259,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
71948311,moneygram,POSTE ITALIANE,,CASTRO DEI VOLSCI,,,IT,775662140,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41049402,moneygram,POSTE ITALIANE,,MADONNA DEL PIANO,,,IT,+39 0775 686659,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41048775,moneygram,POSTE ITALIANE,,ARNARA,,,IT,+39 0775 231340,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41049428,moneygram,POSTE ITALIANE,,STRANGOLAGALLI,,,IT,+39 0775 978712,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41049541,moneygram,POSTE ITALIANE,,VALLECORSA,,,IT,+39 0775 678090,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41049334,moneygram,POSTE ITALIANE,,GIULIANO DI ROMA,,,IT,+39 0775 699690,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41049499,moneygram,POSTE ITALIANE,,TORRICE,,,IT,+39 0775 301923,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41049538,moneygram,POSTE ITALIANE,,PICO,,,IT,+39 0776 543090,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
45274587,moneygram,POSTE ITALIANE,,VILLA SANTO STEFANO,,,IT,+39 0775 632620,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
45274503,moneygram,POSTE ITALIANE,,PASTENA,,,IT,+39 0776 546123,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
