Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CN483632,adidas,"adidas Outlet Store Urumqi, Zhongcheng Outlets",,乌鲁木齐市,,,CN,+8600991-3768810,https://www.adidas.co.uk/storefront/CN483632-乌鲁木齐市-万盛大街4706号奥特莱斯1层d1008-adidas-outlet-store-urumqi-zhongcheng-outlets,,Adidas,Q3895
urcushx-hampton-urumqi-exhibition-center,hilton,Hampton by Hilton Urumqi Exhibition Center,"No.718 Longteng Road, Shuimogou District,, Urumqi, 830000, China",,,,CN,+86 991 352 8888,https://www.hilton.com/ar/hotels/urcushx-hampton-urumqi-exhibition-center/,,Hampton by Hilton,Q5646230
66818197,moneygram,BOC - #17065 - XJWLMQ HUANGHE RD SUBBRAN,,WULUMUQI,,,CN,+86 991 582 5444,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818223,moneygram,BOC - #17074 - XJWLMQ  KELAMAYI E RD SUB,,WULUMUQI,,,CN,+86 991 485 0517,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818236,moneygram,BOC - #17076 - XJWLMQ YOUHAO N RD SUBBRA,,WULUMUQI,,,CN,+86 991 454 5378,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818210,moneygram,BOC - #17070 - XJWLMQ QITAI RD SUBBRANCH,,WULUMUQI,,,CN,+86 991 587 1882,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818252,moneygram,BOC - #17064 - XJWLMQ XINYI RD SUBBRANCH,,WULUMUQI,,,CN,+86 991 436 0352,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818553,moneygram,BOC - #17218 - XJWLMQ JIEFANG RD SUBBRAN,,WULUMUQI,,,CN,+86 991 281 6029,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818566,moneygram,BOC - #17054 - XJWLMQ ZHONGSHAN RD SUBBR,,WULUMUQI,,,CN,+86 991 230 1156,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818618,moneygram,BOC - #17300 - XJWLMQ BEIJING RD SUBBRAN,,WULUMUQI,,,CN,+86 991 483 0751,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818650,moneygram,BOC - #17219 - XJWLMQ TIYUGUAN SUBBRANCH,,WULUMUQI,,,CN,+86 991 662 5227,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818676,moneygram,BOC - #17063 - XJWLMQ QIANTANGJIANG RD W,,WULUMUQI,,,CN,+86 991 550 5537,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818692,moneygram,BOC - #17067 - XJWLMQ HUANGHE RD N SUBBR,,WULUMUQI,,,CN,+86 991 586 0572,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818689,moneygram,BOC - #17066 - XJWLMQ HUANGHE RD S SUBBR,,WULUMUQI,,,CN,+86 991 610 6003,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818702,moneygram,BOC - #17069 - XJWLMQ JIEFANG S RD INTER,,WULUMUQI,,,CN,+86 991 855 7207,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818715,moneygram,BOC - #17071 - XJWLMQ CHANGJIANG RD SUBB,,WULUMUQI,,,CN,+86 991 587 2403,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818728,moneygram,BOC - #17302 - XJWLMQ YANGZIJIANG RD SUB,,WULUMUQI,,,CN,+86 991 583 8432,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818744,moneygram,BOC - #17073 - XJWLMQ KELAMAYI W RD SUBB,,WULUMUQI,,,CN,+86 991 483 2910,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818757,moneygram,BOC - #17079 - XJWLMQ JIANQUAN ST SUBBRA,,WULUMUQI,,,CN,+86 991 466 8135,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818760,moneygram,BOC - #17080 - XJWLMQ XIHONG E RD TENGFE,,WULUMUQI,,,CN,+86 991 465 3781,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818854,moneygram,BOC - #17052 - XJWLMQ JIEFANG N RD SUBBR,,WULUMUQI,,,CN,+86 991 281 4375,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818870,moneygram,BOC - #17062 - XJWLMQ QIANGTANGJIANG RD,,WULUMUQI,,,CN,+86 991 558 3541,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
66818883,moneygram,BOC - #17303 - WULUMUQI,,WULUMUQI,,,CN,+86 991 258 0087,,Mo-Fr 10:00-18:30; Sa-Su 11:00-15:30,MoneyGram,Q1944412
