Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
5568c51054555dfb0a9230f3c4f76a8b,western_union,HOP YDE MENDONG 2,,Yaounde,CENTRE,,CM,+237 6 83 75 08 20,https://location.westernunion.com/cm/centre/yaounde/5568c51054555dfb0a9230f3c4f76a8b,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
1478d5cd17b580895e4a43de2ab5237b,western_union,HOP YDE NKOLBISSON BEATITUDE,,Yaounde,CENTRE,,CM,+237 6 83 72 52 91,https://location.westernunion.com/cm/centre/yaounde/1478d5cd17b580895e4a43de2ab5237b,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
2407fb4d39444db65b20187b9e5188bd,western_union,HOP YDE TKC,,Yaounde,CENTRE,,CM,+237 6 83 75 17 37,https://location.westernunion.com/cm/centre/yaounde/2407fb4d39444db65b20187b9e5188bd,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
d451b6f5dd4e398d27303dacb80a3b9f,western_union,HOP YDE MINI FERME,,Yaounde,CENTRE,,CM,+237 6 83 73 34 21,https://location.westernunion.com/cm/centre/yaounde/d451b6f5dd4e398d27303dacb80a3b9f,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
11365fa512707ca5259375790a53bada,western_union,HOP YDE SCALOM,,Yaounde,CENTRE,,CM,+237 6 83 75 16 45,https://location.westernunion.com/cm/centre/yaounde/11365fa512707ca5259375790a53bada,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
6322c206232aa1ed006cae06b964ec4b,western_union,HOP YDE MVOG BETSI,,Yaounde,CENTRE,,CM,+237 6 83 75 88 12,https://location.westernunion.com/cm/centre/yaounde/6322c206232aa1ed006cae06b964ec4b,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
135fef8fd0428868f8172c786bb46598,western_union,HOP YDE OLEZOA,,Yaounde,CENTRE,,CM,+237 6 83 75 21 21,https://location.westernunion.com/cm/centre/yaounde/135fef8fd0428868f8172c786bb46598,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
54eee5f70ac4f0dd9461ca114fe8718f,western_union,HOP YDE NKOMKANA,,Yaounde,CENTRE,,CM,+237 6 83 75 36 16,https://location.westernunion.com/cm/centre/yaounde/54eee5f70ac4f0dd9461ca114fe8718f,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
b0edf8fb01a238bd25c029d100f819d8,western_union,HOP YDE MONTEE ZOE,,Yaounde,CENTRE,,CM,+237 6 83 75 17 10,https://location.westernunion.com/cm/centre/yaounde/b0edf8fb01a238bd25c029d100f819d8,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
b96182419ad8a8dd613cf3a46092ffa6,western_union,HOP YDE EMANA 2,,Yaounde,CENTRE,,CM,+237 6 83 75 88 41,https://location.westernunion.com/cm/centre/yaounde/b96182419ad8a8dd613cf3a46092ffa6,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
b01e3e9458e74809139d978076db9917,western_union,HOP YDE MIMBOMAN,,Yaounde,CENTRE,,CM,+237 6 83 75 84 76,https://location.westernunion.com/cm/centre/yaounde/b01e3e9458e74809139d978076db9917,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
083dcff506b825eb1d83a63bc932685d,western_union,HOP YDE MANGUIER 1,,Yaounde,CENTRE,,CM,+237 6 83 75 13 23,https://location.westernunion.com/cm/centre/yaounde/083dcff506b825eb1d83a63bc932685d,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
d12e49019b29447f4d6b0fa1435b0f20,western_union,HOP YDE BATA NLONGKAK,,Yaounde,CENTRE,,CM,+237 6 83 75 37 10,https://location.westernunion.com/cm/centre/yaounde/d12e49019b29447f4d6b0fa1435b0f20,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
