State,Place Name,City,Establishments
PORTGENTIL,avis,Port Gentil,2
LIBREVILLE,avis,Libreville,1
BP7661,avis,Libreville,1
LIBREVILLE,deloitte,unknown,1
UNKNOWN,ernst_young,Libreville,1
ESTUAIRE,fedex,Libreville,1
UNKNOWN,ford,Libreville,5
UNKNOWN,geox,LIBREVILLE CARREFOUR PARK,1
UNKNOWN,man_truck_and_bus,Libreville,1
UNKNOWN,man_truck_and_bus,Port Gentil,1
UNKNOWN,man_truck_and_bus,Libreville ,1
ESTUAIRE,mercedes_benz,LIBREVILLE,1
UNKNOWN,mercedes_benz,Libreville,1
UNKNOWN,moneygram,LIBREVILLE,24
UNKNOWN,moneygram,OWENDO,1
UNKNOWN,moneygram,MOANDA,1
UNKNOWN,moneygram,BITAM,1
UNKNOWN,moneygram,PORT-GENTIL,2
UNKNOWN,moneygram,FRANCEVILLE,1
UNKNOWN,moneygram,LAMBARENE,1
UNKNOWN,moneygram,NKOK,1
UNKNOWN,totalenergies,Libreville,44
UNKNOWN,totalenergies,Owendo,4
UNKNOWN,totalenergies,Bifoun,2
UNKNOWN,totalenergies,Mouila,2
UNKNOWN,totalenergies,Ndendé,1
UNKNOWN,totalenergies,Tchinbanga,2
UNKNOWN,totalenergies,Oyem,2
UNKNOWN,totalenergies,Ndjolé,1
UNKNOWN,totalenergies,Kango,2
UNKNOWN,totalenergies,Franceville,1
UNKNOWN,totalenergies,Port-Gentil,11
UNKNOWN,totalenergies,Akiéni,1
UNKNOWN,totalenergies,Koulamoutou,3
UNKNOWN,totalenergies,Moanda,2
UNKNOWN,totalenergies,Mandji,2
UNKNOWN,totalenergies,Makokou,2
UNKNOWN,totalenergies,Lambar,2
UNKNOWN,totalenergies,Minvoul,1
UNKNOWN,totalenergies,LIBREVILLE,3
UNKNOWN,totalenergies,AKIENI,1
UNKNOWN,totalenergies,Ndende,1
UNKNOWN,totalenergies,Ndjol,1
UNKNOWN,totalenergies,MINVOUL,1
UNKNOWN,totalenergies,FRANCEVILLE,1
UNKNOWN,visa,PORT-GENTIL,1
UNKNOWN,visa,PORT GENTIL,7
UNKNOWN,visa,LIBREVILLE,22
ESTUAIRE,visa,LIBREVILLE,1
UNKNOWN,visa,OWENDO,1
UNKNOWN,visa,LAMBARENE,2
UNKNOWN,visa,LAMBAREN,1
UNKNOWN,visa,BITAM,1
UNKNOWN,visa,OYEM,1
UNKNOWN,visa,OKALA LIBREVILLE,2
HAUTOGOOUE,visa,MOANDA,1
UNKNOWN,visa,MOANDA,1
UNKNOWN,visa,FRANCEVILLE,1
MOYENOGOOUE,western_union,Lambarene,1
WOLEUNTEM,western_union,Oyem,1
HAUTOGOOUE,western_union,Franceville,3
HAUTOGOOUE,western_union,Moanda,1
OGOOUEMARITIME,western_union,Port Gentil,4
OGOOUEMARITIME,western_union,Port-gentil,3
ESTUAIRE,western_union,Libreville,90
ESTUAIARE,western_union,Libreville,1
ESTUAIRE,western_union,Akanda,5
HAUTOGOOUE,western_union,Libreville,1
ESTUAIRE,western_union,Owendo,3
