City,Place Name,Zipcode,Name
Pereira,american_eagle_outfitters,,unknown,"American Eagle Store Cra. 14 #5-20, Pereira"
Pereira,audi,Avenida 30 de Agosto Calle 94 Esquina 660001311 Pereira,unknown,Audi Pereira
Pereira,bmw_group,,unknown,Autogermana S.A.S. Autogermana Pereira Taller
Dosquebradas,fedex,,unknown,Centro de Envío FedEx
Pereira,hm,,unknown,H&M
Pereira,mercedes_benz,,unknown,Motores y Maquinas S.A.
Pereira,nissan_europe,,unknown,Nissan Pereira
Dosquebradas,nissan_europe,,unknown,Servicio Pereira Colisión
PEREIRA,visa,,unknown,unknown
DOSQUEBRADAS,visa,,unknown,unknown
SALENTO,visa,,unknown,unknown
SANTA ROSA DE CABAL,visa,,unknown,unknown
MARSELLA,visa,,unknown,unknown
QUINCHIA,visa,,unknown,unknown
ARMENIA,visa,,unknown,unknown
GUATICA,visa,,unknown,unknown
BELEN DE UMBRIA,visa,,unknown,unknown
LA VIRGINIA,visa,,unknown,unknown
MISTRATO,visa,,unknown,unknown
CARTAGO,visa,,unknown,unknown
APIA,visa,,unknown,unknown
BALBOA,visa,,unknown,unknown
SANTUARIO,visa,,unknown,unknown
LA CELIA,visa,,unknown,unknown
PUEBLO RICO,visa,,unknown,unknown
Pereira,western_union,,unknown,EFECTY TIENDA LA 23 LLANO GRANDE
Dosquebradas,western_union,,unknown,SUPERGIROS ESTACION POLICI
Marsella,western_union,,unknown,SUPERGIROS LOS REYES
La Virginia,western_union,,unknown,SUPERGIROS OFICINA PRINCIPAL LA CELI
Santa Rosa De Cabal,western_union,,unknown,EFECTY CALLE 16
Guatica,western_union,,unknown,BANCO AGRARIO GUATICA
Pueblo Rico,western_union,,unknown,BANCO AGRARIO PUEBLO RICO
Quinchia,western_union,,unknown,EFECTY AVENIDA PRINCIPAL
Belen De Umbria,western_union,,unknown,EFECTY EXPRESS BELEN ESTACION DE POLICIA
Mistrato,western_union,,unknown,EFECTY MISTRATO CRA 6
Balboa,western_union,,unknown,EFECTY BALBOA CALLE CENTRAL
Santuario,western_union,,unknown,SUPERGIROS LA ECONOMIA
Apia,western_union,,unknown,CONEXRED SAN VERANO 1
La Celia,western_union,,unknown,BANCO AGRARIO LA CELIA
