Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72866366,moneygram,BOC - #31787 - HBJZ JINGCHENG SUBBR,,JINGZHOU,,,CN,+86 716 846 4221,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
73224295,moneygram,BOC - #31752 - HBJZ SHA BEI NEW AREA SUB,,JINGZHOU,,,CN,+86 716 810 0187,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66865687,moneygram,BOC - #11903 - HUBJZ DAQIAO SUB-BR,,JINZHOU,,,CN,+86 716 842 2234,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66865690,moneygram,BOC - #11910 - HUBJZ ZHANGHUA SUB-BR,,JINZHOU,,,CN,+86 716 822 1742,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66865700,moneygram,BOC - #11913 - HUBJZ YINWEI SUB-BR,,JINZHOU,,,CN,+86 716 822 1303,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66867216,moneygram,BOC - #11904 - HUBJZ SHASHI SUB-BR,,JINZHOU,,,CN,+86 716 823 0193,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66867258,moneygram,BOC - #11914 - HUBJZ LIYUAN SUB-BR,,JINZHOU,,,CN,+86 716 810 0187,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66867245,moneygram,BOC - #11911 - HUBJZ CHANGJIANG UNIVERSI,,JINZHOU,,,CN,+86 716 818 6338,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66869036,moneygram,BOC - #11905 - HUBJZ BEIJINGLU SUB-BR,,JINZHOU,,,CN,+86 716 822 9077,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66867232,moneygram,BOC - #11908 - HUBJZ JIEFANGLU SUB-BR,,JINZHOU,,,CN,+86 716 821 2354,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66868477,moneygram,BOC - #11912 - HUBJZ XUDONG SUB-BR,,JINZHOU,,,CN,+86 716 832 0215,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66867229,moneygram,BOC - #11907 - HUBJZ CHANGGANGLU SUB-BR,,JINZHOU,,,CN,+86 716 818 0618,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
66868464,moneygram,BOC - #11909 - HUBJZ CENTRE SUB-BR,,JINZHOU,,,CN,+86 716 821 2133,,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,MoneyGram,Q1944412
