Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71a1a41a-1d34-4f10-9db4-b62e3b3912b8,nike,TOPSPORTS海南海口迎宾大道与椰海大道新城吾悦NIKE SPORT-M,,海口,海南,,CN,+86 898 6859 3723,https://www.nike.com/retail/s/topsports海南海口迎宾大道与椰海大道新城吾悦nike sport-m,Mo-Su 10:00-22:00,Nike,Q483915
771105db0bccde899a6449636b400a08,western_union,CHINA EVERBRIGHT BANK CO. LTD,,Haikou,HAINAN,,CN,+86 898 6615 9277,https://location.westernunion.com/cn/hainan/haikou/771105db0bccde899a6449636b400a08,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
59664fec22921fe1c33f2278c61eedd0,western_union,CHINA EVERBRIGHT BANK,,Haikou,HAINAN,,CN,+86 898 6523 1676,https://location.westernunion.com/cn/hainan/haikou/59664fec22921fe1c33f2278c61eedd0,Mo-Fr 08:30-17:30; Sa-Su 08:30-16:30,Western Union,Q861042
7e4aaa6d7a17fa04e557df0ff0fbc69e,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6655 9064,https://location.westernunion.com/cn/hainan/haikou/7e4aaa6d7a17fa04e557df0ff0fbc69e,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
2a08d151facedbc306c403e703058761,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6655 9064,https://location.westernunion.com/cn/hainan/haikou/2a08d151facedbc306c403e703058761,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
ac745a57a8b61ae61427ab29ee8770e0,western_union,CHINA EVERBRIGHT BANK,,Haikou,HAINAN,,CN,+86 898 6655 0775,https://location.westernunion.com/cn/hainan/haikou/ac745a57a8b61ae61427ab29ee8770e0,Mo-Fr 08:30-17:30; Sa-Su 08:30-16:30,Western Union,Q861042
86d6a1cc85b2aea682a602c2c80d2936,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2839,https://location.westernunion.com/cn/hainan/haikou/86d6a1cc85b2aea682a602c2c80d2936,Mo-Fr 08:30-17:00; Sa 09:00-17:00,Western Union,Q861042
7610a0c6c74098e6ea00ec3fca0853c8,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2698,https://location.westernunion.com/cn/hainan/haikou/7610a0c6c74098e6ea00ec3fca0853c8,Mo-Fr 08:30-17:00; Sa 09:00-17:00,Western Union,Q861042
5f53def0892dd9d5d138bc4c8db2885b,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 3020,https://location.westernunion.com/cn/hainan/haikou/5f53def0892dd9d5d138bc4c8db2885b,Mo-Sa 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
02598f5329b70e347338e6c8fd3f38b5,western_union,CHINA EVERBRIGHT BANK CO. LTD,,Haikou,HAINAN,,CN,+86 898 6681 6640,https://location.westernunion.com/cn/hainan/haikou/02598f5329b70e347338e6c8fd3f38b5,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
c3ec0579f230360460277b7e945518f1,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2784,https://location.westernunion.com/cn/hainan/haikou/c3ec0579f230360460277b7e945518f1,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
b433577f1ea4801d22de4c2ff05ac90b,western_union,CHINA EVERBRIGHT BANK,,Haikou,HAINAN,,CN,+86 898 6537 3856,https://location.westernunion.com/cn/hainan/haikou/b433577f1ea4801d22de4c2ff05ac90b,Mo-Fr 08:30-17:30; Sa-Su 08:30-16:30,Western Union,Q861042
001a6608c17ff4125eb2600b4b3e66f8,western_union,CHINA EVERBRIGHT BANK,,Haikou,HAINAN,,CN,+86 898 6676 6678,https://location.westernunion.com/cn/hainan/haikou/001a6608c17ff4125eb2600b4b3e66f8,Mo-Fr 08:30-17:30; Sa-Su 08:30-16:30,Western Union,Q861042
a3cd721e6e029282855fb69a3d1cf5b7,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2996,https://location.westernunion.com/cn/hainan/haikou/a3cd721e6e029282855fb69a3d1cf5b7,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
f95f4bb0f12780729ab7b3f7afc6c4ae,western_union,CHINA EVERBRIGHT BANK,,Haikou,HAINAN,,CN,+86 898 6852 0709,https://location.westernunion.com/cn/hainan/haikou/f95f4bb0f12780729ab7b3f7afc6c4ae,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
f5d5e6a786d1da4a0022bee78e83ccc7,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2905,https://location.westernunion.com/cn/hainan/haikou/f5d5e6a786d1da4a0022bee78e83ccc7,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
38d851ff2c1c25308eacaacf22012d32,western_union,CHINA EVERBRIGHT BANK,,Haikou,HAINAN,,CN,+86 898 6850 7951,https://location.westernunion.com/cn/hainan/haikou/38d851ff2c1c25308eacaacf22012d32,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
