Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68948751,moneygram,CBE - LEME LEFEN,,AWASH SEBAT KILO,,,ET,+251 22 111 1130,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69032404,moneygram,CBE - BEKOJI,,ARSII,,,ET,+251 22 332 0266,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69467176,moneygram,CBE - SAR TERA BRANCH,,ADAMA,,,ET,221100258,,Mo-Th 08:00-19:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69468065,moneygram,CBE - ADELE BRANCH,,ADELE,,,ET,224730393,,Mo-Th 08:00-19:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
70514775,moneygram,CBE - BOLE GORGORIOS,,ADDIS ABABA,,,ET,+251 91 068 3607,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
70514937,moneygram,CBE - SILTANA,,SILT'ANA,,,ET,228990212,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
70515020,moneygram,CBE - NURAHERA,,NURAHERA,,,ET,224530194,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
70514940,moneygram,CBE - BORUJAWI,,BORUJAWI,,,ET,228990205,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
70514759,moneygram,CBE - MARIAMGUGSA,,MEKELE,,,ET,+251 91 476 5587,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
70514801,moneygram,CBE - FERESMAY,,FERESMAY,,,ET,343100155,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
71438708,moneygram,CBE - ASHMIRE DEREBA,,ADAMA,,,ET,+251 22 111 5824,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71438711,moneygram,CBE - BULUKO BRANCH,,ADAMA,,,ET,222120873,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71764977,moneygram,COMMERCIAL BANK OF ETHIOPIA - BELEGESGAR,,BELEGESGAR,,,ET,41115824,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71764980,moneygram,COMMERCIAL BANK OF ETHIOPIA - EJERE - CB,,EJERE,,,ET,41115824,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71764993,moneygram,COMMERCIAL BANK OF ETHIOPIA - GOLJIYA -,,GOLJIYA,,,ET,41115824,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71764964,moneygram,COMMERCIAL BANK OF ETHIOPIA - HABE - CBE,,HABE,,,ET,41115824,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71765002,moneygram,COMMERCIAL BANK OF ETHIOPIA - OGOLCHO -,,OGOLCHO,,,ET,41115824,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
