Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65715204,moneygram,BOC - #13762 - GDYJ UANGDONG SUBRANCH,,YANGJIANG,,,CN,+86 662 661 1291,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715301,moneygram,BOC - #13763 - GDYJ JUANGCHENG SUBBRANCH,,YANGJIANG,,,CN,+86 662 330 3289,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715327,moneygram,BOC - #13772 - GDYJ MOJIANG RD SUBBRANCH,,YANGJIANG,,,CN,+86 662 322 7066,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716342,moneygram,BOC - #33829 - GDYJ YANGJIANG BRANCH OPE,,YANGJIANG,,,CN,+86 662 321 2148,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716397,moneygram,BOC - #13773 - GDYJ DHUANGYE RD SUBBRANC,,YANGJIANG,,,CN,+86 662 311 0014,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716436,moneygram,BOC - #13769 - GDYJ DONGMEN RD SUBBRANCH,,YANGJIANG,,,CN,+86 662 322 7542,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716478,moneygram,BOC - #13767 - GDYJ ERHUAN RD SUBBRANCH,,YANGJIANG,,,CN,+86 662 331 3557,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716504,moneygram,BOC - #13770 - GDYJ JINJI RD SUBBRANCH,,YANGJIANG,,,CN,+86 662 321 0922,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716562,moneygram,BOC - #13766 - GDYJ SHIWAN RD SUBBRANCH,,YANGJIANG,,,CN,+86 662 342 0538,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716591,moneygram,BOC - #13768 - GDYJ XIPING RD SUBBRANCH,,YANGJIANG,,,CN,+86 662 316 5458,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716627,moneygram,BOC - #13771 - GDYJ YANJIANG N RD SUBBRA,,YANGJIANG,,,CN,+86 662 352 3630,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65815816,moneygram,BOC - #13764 - GDYJ DONGFENGYILU SUB-BRA,,YANGJIANG,,,CN,+86 662 325 9457,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
