City,Place Name,Zipcode,Name
Biella,deichmann,,unknown,"DEICHMANN negozio Biella Strada Trossi, Ss 230"
Biella,tigota_it,,unknown,Tigotà
Coggiola,western_union,,unknown,TORELLO CARLA
Pray,western_union,,unknown,TABOZZI ENRICO
Valdilana,western_union,,unknown,TABACCHERIA SPERUMANBEN
Mosso,western_union,,unknown,MERLO ETTORE
Biella,western_union,,unknown,ANDREOTTI MILENA
Occhieppo Superiore,western_union,,unknown,DI TUTTO UN PO DI FERLA ALESSANDRO
Ponderano,western_union,,unknown,MASARA MONICA
Cossato,western_union,,unknown,ADA DI ANZALONE MARIA
Cavaglia,western_union,,unknown,GAMBULLO DIEGO PIER ANTONIO
Roppolo,western_union,,unknown,LA BRACE DI MONTORIO LORENZO
Candelo,western_union,,unknown,ZUMAGLINO MARIELLA
