Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66801311,moneygram,BOC - #09681 - JXJDZ GUANGCHANG SUB-  BR,,JINGDEZHEN,,,CN,+86 798 823 5642,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66801324,moneygram,BOC - #09941 - JXJDZ JINGDEZHEN BRANCH O,,JINGDEZHEN,,,CN,+86 798 857 0582,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66801337,moneygram,BOC - #09684 - JXJDZ LISHUYUAN   SUB-  B,,JINGDEZHEN,,,CN,+86 798 828 0601,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66801340,moneygram,BOC - #09685 - JXJDZ JINGCHENG    SUB-,,JINGDEZHEN,,,CN,+86 798 848 8873,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66801353,moneygram,BOC - #09691 - JXJDZ CIDU  SUB-  BRANCH,,JINGDEZHEN,,,CN,+86 798 857 0725,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66801366,moneygram,BOC - #09693 - JXJDZ DONGDA  SUB-  BRANC,,JINGDEZHEN,,,CN,+86 798 844 3848,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66800749,moneygram,BOC - #29115 - JXJDZ LONGZHU  SUB-  BRAN,,JINGDEZHEN,,,CN,+86 798 822 6465,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66800710,moneygram,BOC - #09680 - JXJDZ TAIBAIYUAN   SUB-,,JINGDEZHEN,,,CN,+86 798 857 6163,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66800723,moneygram,BOC - #09688 - JXJDZ LIANSHE ROAD SUB-,,JINGDEZHEN,,,CN,+86 798 821 7218,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66802488,moneygram,BOC - #09683 - JXJDZ CHANGJIANG   SUB-,,JINGDEZHEN,,,CN,+86 798 828 0619,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66802491,moneygram,BOC - #09686 - JXJDZ XINCHANG    WEST  R,,JINGDEZHEN,,,CN,+86 798 844 2086,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66802501,moneygram,BOC - #29114 - JXJDZ CHANGNAN  SUB-  BRA,,JINGDEZHEN,,,CN,+86 798 843 6151,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66803076,moneygram,BOC - #09687 - JXJDZ ZHAOYANG ROAD  SUB-,,JINGDEZHEN,,,CN,+86 798 821 2529,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66803089,moneygram,BOC - #09682 - JXJDZ ZHUSHAN   SUB-  BRA,,JINGDEZHEN,,,CN,+86 798 828 0630,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66803092,moneygram,BOC - #09690 - JXJDZ XINCUN    WEST   RA,,JINGDEZHEN,,,CN,+86 798 823 9647,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
